stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,13.14,0,28.92,0,0,0,31.54,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,247.1,23.66,0,0,97.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,40.91,0,0,0,22.03,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,324.14,9.44,0,0,122.73,0,0,6.29,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,1,3,69,12,0,14,0,0,28,2,6,1,3,0,0,0,0,0,31,0,0,17,246,5,4,20,12,0,1,3,25,22,0,17,160,0,0,0,0
 24-34,0,0,0,0.82,27.09,5.75,0,26.27,0.82,0,26.27,1.64,0,0,4.1,0,0,2.46,0,0,36.12,0,0,25.45,343.12,3.28,13.13,4.93,0,0,2.46,0,0,6.57,0,3.28,134.62,0,6.57,0,0
 36-46,0,0,0,0,5.64,0,0,70.09,0.81,1.61,33.03,0,0,0.81,0,0,0,0,0,0,40.28,0,1.61,7.25,222.36,0.81,11.28,4.03,0,0,4.03,0,0,2.42,0,0,94.26,0,3.22,0,0
 48-58,0,0,0.57,0,4.02,0,0,96.97,0.57,2.87,58.53,1.15,0,2.3,0,0,0,0.57,0,1.72,71.15,0.57,0.57,6.31,171.57,1.15,6.31,4.59,0,0,3.44,0,0,3.44,0,0,63.69,0.57,1.15,0,0
 60-70,0.98,0,0,0,7.85,0,0.98,136.43,0.98,3.93,74.6,0,0,0,0,0.98,0,0.98,0,0.98,101.1,0,5.89,7.85,168.82,0,8.83,3.93,0,0,0,0,0,2.94,0.98,0,25.52,0,2.94,0,0
 72-82,0,0,0.98,0,5.89,1.96,1.96,92.28,0.98,4.91,84.42,1.96,0,0,0,0.98,0.98,3.93,0,0.98,126.63,0,2.94,12.76,107.98,0.98,14.72,3.93,0,0.98,0,0,0,1.96,0,0,10.8,3.93,1.96,1.96,1.96
 84-94,0,0,1.06,0,10.62,2.12,6.37,90.27,4.25,1.06,48.85,2.12,0,0,0,0,2.12,2.12,2.12,1.06,71.16,0,7.43,9.56,69.03,1.06,7.43,5.31,0,1.06,0,0,0,0,0,0,8.5,2.12,3.19,4.25,0
 96-106,0,0,1.09,0,5.46,2.19,2.19,51.36,1.09,3.28,57.92,2.19,0,1.09,0,0,0,2.19,0,0,112.56,1.09,2.19,8.74,64.48,1.09,15.3,8.74,0,2.19,1.09,1.09,0,1.09,0,0,8.74,1.09,4.37,3.28,1.09
108-118,0,0,2.3,0,7.66,0,5.36,40.6,2.3,6.13,30.64,0,0,0.77,2.3,0,0.77,3.06,0.77,0.77,88.85,0,0.77,6.89,76.6,0,7.66,6.13,0,0.77,0.77,0,0,1.53,0,0,7.66,0.77,0,0,0.77
120,0,0,0,0,25.48,0,3.92,48.99,1.96,0,39.2,1.96,0,0,1.96,0,0,1.96,0,0,90.15,0,0,7.84,86.23,1.96,1.96,5.88,0,0,0,0,0,1.96,0,0,7.84,1.96,1.96,3.92,0
