stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,9,0,0,1,2,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0.82,33.66,0.82,0,0,1.64,0,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,41.09,0.81,0,0,4.03,0,0,0,0,0.81,0,0
 48-58,0,0.57,0,0.57,0.57,0.57,41.89,1.15,0,0,1.72,0,0,0,0,0,0,0.57
 60-70,0,0,0,1.96,0,0,48.09,0,0,0,1.96,0,0,0,0,0,1.96,0
 72-82,0,0,0,0.98,0,0,65.77,0,0,0,1.96,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,0,78.59,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,90.71,1.09,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0,0,0,72,0.77,0.77,0,2.3,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,72.51,1.96,0,0,1.96,0,0,1.96,0,0,0,3.92
