stage,blastomeres,eye,fast_muscle,glial,mesenchyme,muscle,neural,slow_muscle,somites,spinal_cord,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,11,0,4,7,0,0
 24-34,0,0,0,0,2.46,8.21,0.82,0,1.64,0,0
 36-46,0,0,3.22,0,1.61,1.61,0,0,0.81,0,0.81
 48-58,0,0.57,0.57,0,2.3,2.3,0,0,0,0,11.48
 60-70,0,2.94,3.93,0,0,1.96,0.98,2.94,0,0,9.82
 72-82,0,0.98,6.87,0.98,0,6.87,0.98,0,0,0,3.93
 84-94,0,0,6.37,0,1.06,3.19,1.06,1.06,0,1.06,4.25
 96-106,0,0,8.74,0,0,1.09,0,0,0,0,5.46
108-118,0,0,6.13,0,0,1.53,0.77,0,0,0,2.3
120,0,1.96,3.92,0,3.92,0,0,0,0,0,0
