stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,685.25,11715.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.05,0,0,0,0,0,0,0,0
  5-6,208.41,2887.06,0,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,12.26,30.65,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,5.26,0,0,10.51,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,11,0,2,0,4,0,0,1,4,0,1,5,0,2
 24-34,0,0,0.82,0,2.46,0.82,0,0,0,0,0,0,0,35.3,0,0,0,1.64,0.82,0,2.46,18.06,0,2.46,0.82,0,0.82,0,0,17.24,1.64,2.46,7.39,0,8.21
 36-46,0,0,0,0,1.61,0.81,0,0,0,0,0,0.81,0,9.67,0,0,0,1.61,0,0,2.42,62.04,0,0,0,0,0.81,0,0,4.83,3.22,0,12.09,0,7.25
 48-58,0,0,0.57,0,0,9.18,0,0,1.15,0.57,0,1.15,0,4.02,0,0,0,1.15,1.15,0.57,0,55.66,0.57,0.57,0,0,0,0,0,4.59,3.44,0,8.03,0,8.61
 60-70,0,0,0,0,0,6.87,0,0,0.98,1.96,0,0,0,2.94,0,0,0,2.94,0,0,0.98,62.82,0,0,0,0,0.98,0,0,2.94,5.89,0,4.91,0,10.8
 72-82,0,0,0,0,0.98,14.72,0,0,0,1.96,0,0.98,0,12.76,0.98,0,0,4.91,0,0,0.98,32.39,0,0,0.98,0,0.98,0,0,2.94,1.96,0,9.82,0.98,20.61
 84-94,0,0,1.06,0,3.19,26.55,0,0,0,2.12,0,0,1.06,24.43,0,0,0,2.12,0,0,2.12,24.43,0,0,2.12,0,2.12,0,0,11.68,4.25,0,4.25,0,24.43
 96-106,0,0,1.09,0,3.28,43.71,1.09,0,1.09,1.09,0,0,1.09,18.58,0,0,0,6.56,0,1.09,1.09,21.86,0,3.28,8.74,0,1.09,1.09,0,8.74,5.46,0,2.19,0,25.14
108-118,0,0,0.77,0,2.3,32.17,0.77,0,0,0.77,0,0.77,1.53,16.09,0,1.53,3.06,4.6,0,0,0.77,22.98,0,0.77,5.36,0,1.53,0,0,6.89,0.77,0,0.77,0,16.85
120,0,0,0,0,0,17.64,0,1.96,0,1.96,0,0,1.96,5.88,0,0,0,7.84,0,0,0,17.64,1.96,0,1.96,0,1.96,0,0,5.88,0,0,1.96,0,13.72
