stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,15,6,0,12,0,1,0,5,1,0,0,2,0,0,0,0,10,0,0,6,254,7,2,0,2,0,2,35,1,4,110,69,0,0,2,0,0
 24-34,0,0,0,13.95,0.82,0,37.76,0,0.82,0.82,7.39,1.64,0,0,1.64,0,0,0,1.64,25.45,0,0,10.67,316.03,1.64,4.93,7.39,0,0,9.03,0,3.28,0,9.03,63.21,0,0,0,0,0.82
 36-46,0,0,0,3.22,0.81,0,28.2,0,0.81,0.81,10.47,0.81,0,1.61,0,0,0,0,0,24.98,0,0,4.03,163.55,0.81,3.22,0.81,0,0,5.64,0.81,0.81,0,0,40.28,0,0,1.61,0,0
 48-58,0,0,0.57,4.59,0.57,0,44.18,0,1.15,0,11.48,0.57,0.57,0,0.57,0,0,1.15,0,25.82,0,1.15,5.16,71.73,0.57,0,2.3,0,0,3.44,0,0,0,0,22.95,0,0,1.15,0,0.57
 60-70,0,0,0,3.93,0,0,51.04,0,0,1.96,22.58,0,0,0,0,0,0,0.98,0,43.19,0,1.96,5.89,73.61,0.98,0,1.96,0,0,10.8,0,0.98,0,0,12.76,0,3.93,0.98,0,0
 72-82,0,0,0,6.87,0.98,1.96,48.1,0,0.98,1.96,32.39,1.96,0,4.91,0.98,0.98,2.94,0,0,81.48,0,5.89,6.87,86.39,0,4.91,7.85,0,0,9.82,0,1.96,0,0,3.93,0,0,2.94,0.98,0
 84-94,0,1.06,0,4.25,2.12,0,23.36,0,0,2.12,22.3,4.25,0,0,0,1.06,2.12,0,1.06,39.3,0,6.37,4.25,36.11,1.06,1.06,2.12,0,0,18.05,0,7.43,0,0,0,0,0,6.37,3.19,0
 96-106,0,0,0,16.39,0,0,26.23,1.09,2.19,1.09,14.21,0,2.19,5.46,4.37,1.09,2.19,0,2.19,41.53,3.28,4.37,5.46,26.23,0,3.28,8.74,0,1.09,13.11,0,0,0,0,1.09,2.19,1.09,2.19,4.37,0
108-118,0,1.53,0,9.96,3.06,0.77,16.85,0,1.53,0.77,9.96,2.3,0,3.83,0,2.3,0,0.77,0,26.81,0,0,6.89,33.7,0,1.53,3.83,0,0.77,10.72,0,6.89,0,0,0.77,0.77,2.3,3.06,0.77,0
120,0,0,0,15.68,0,0,23.52,0,0,0,19.6,5.88,0,5.88,1.96,0,3.92,0,0,39.2,0,1.96,3.92,37.24,0,1.96,1.96,0,0,3.92,0,1.96,0,0,0,0,0,1.96,0,0
