stage,blastomeres,epidermis,erythrocytes,fin_epithelia,gut,lateral_line,mucous,neural,otic,periderm,spinal_cord
  5-6,36.78,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0.82,0,0,0,0,0.82,1.64,0,0,0
 36-46,0,0,0,0,0,0,4.03,15.31,0,0,0
 48-58,0,0,0,0,0,0,5.16,2.87,0,0,0.57
 60-70,0,0,0,0.98,0,0,5.89,0,0,0.98,0
 72-82,0,0.98,0,0,0.98,0,8.83,3.93,0,0,0
 84-94,0,0,0,0,0,0,9.56,5.31,0,0,0
 96-106,0,2.19,0,0,3.28,1.09,10.93,2.19,0,0,0
108-118,0,0.77,0.77,0,3.83,0,4.6,0.77,0,0,0
120,0,1.96,1.96,0,3.92,0,1.96,1.96,0,0,0
