stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,39.53,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,1771.46,0,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,49.04,30.65,0,0,0,0,0,0,0,0
  7-9,15.77,97.26,0,28.92,0,0,0,286.53,0,0,10.51,0,0,0,0,0,0,0,0,0,0,2552.48,60.46,0,0,1138.23,7.89,0,0,2.63,0,0,0,0,0
 10-12,0,34.62,0,12.59,0,0,0,50.35,0,0,0,0,0,0,0,0,0,0,0,0,0,733.24,12.59,0,0,343.02,0,0,0,22.03,0,0,3.15,0,0
 14-21,0,0,1,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,2,1,0,2,0,6,5,0,2,21,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0,0,0,0,1.64,0,1.64,0,0,1.64,0,0,1.64,65.67,0,1.64,0,0,0,0,0,0,0,0.82,22.98,0,0
 36-46,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0.81,0,0,0,276.34,0,4.03,1.61,0,0,0.81,0,0.81,0,0,73.32,0,0
 48-58,0,0,0,0,1.15,0,0,19.51,0.57,3.44,0,0,0,0,0,0,0,1.72,0,0,1.15,314.45,0.57,1.72,0.57,0,0,0,0,0,0.57,0,70.58,0,0
 60-70,0,0,0,0,0,0,0,59.87,0.98,1.96,0,0,0,0,0,0,0,1.96,0.98,0,0,621.3,1.96,2.94,0.98,0,0,0,0,0,0,0,70.67,0,0
 72-82,0,0,0,0,1.96,2.94,0,37.3,0,9.82,0,0.98,0,0,0,0.98,0,4.91,0,0,0.98,337.69,0,2.94,0,0,0.98,0,0,0,0,0,42.21,0.98,0
 84-94,0,0,0,0,1.06,1.06,0,38.23,0,9.56,0,0,0,1.06,0,0,1.06,2.12,0,0,1.06,197.54,0,2.12,0,0,1.06,0,0,0,0,0,16.99,2.12,0
 96-106,0,0,0,0,1.09,3.28,0,15.3,0,1.09,0,0,0,0,1.09,0,0,3.28,0,0,0,150.81,0,6.56,0,0,1.09,0,0,0,0,0,6.56,0,1.09
108-118,0,0,0,0,3.06,0,0.77,19.15,0,3.06,0,0,0.77,0,0,0.77,0,5.36,0,0,0,124.09,0,3.83,0.77,0,1.53,0,0,0,1.53,0,1.53,0,0
120,0,0,0,0,3.92,0,0,11.76,1.96,5.88,0,0,0,1.96,0,0,0,7.84,0,1.96,1.96,160.7,0,3.92,3.92,0,0,0,0,0,1.96,0,7.84,1.96,1.96
