stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.44,15.73,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.47,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,11,42,62,0,25,0,0,0,16,11,0,6,0,0,0,0,0,0,37,0,14,180,3,0,2,2,0,2,5,5,1,13,190,0,26,0,0
 24-34,0,6.57,9.85,8.21,0,82.91,0,0,0,20.52,2.46,0,12.31,0.82,2.46,0,0,0,0.82,64.85,0.82,21.34,229.02,0,0,10.67,0,0.82,4.1,0,4.1,0.82,0.82,114.92,0,121.49,0,0.82
 36-46,0,0.81,6.45,0,0,88.62,0,0.81,0,27.39,0.81,0,14.5,0,0.81,0,0.81,1.61,4.83,58.01,0,5.64,131.32,2.42,1.61,3.22,0,0.81,4.03,0,1.61,0,0,72.51,0,70.09,0,1.61
 48-58,0,0.57,4.02,0,0,110.17,0,0.57,0.57,33.28,0,0,14.35,0,0.57,0.57,0,0,6.89,49.35,5.74,6.31,68.28,2.3,0,12.05,0,0.57,9.18,0,0,0,0,30.41,1.72,80.33,0,0
 60-70,0,0,3.93,0,0,120.73,0,0,1.96,36.32,0,0,4.91,1.96,1.96,0,1.96,2.94,0.98,55.95,4.91,3.93,37.3,0.98,0,3.93,0,1.96,7.85,0,0.98,0,0,9.82,0.98,57.91,0.98,0
 72-82,0,0,3.93,0,0,51.05,0,0,0.98,60.86,1.96,0,15.71,4.91,0.98,0,0,1.96,2.94,59.88,13.74,2.94,24.54,0,0.98,11.78,0,0.98,11.78,0,1.96,0,0,3.93,5.89,96.2,2.94,0
 84-94,0,0,7.43,1.06,0,46.73,1.06,2.12,0,21.24,3.19,1.06,11.68,3.19,2.12,1.06,0,3.19,2.12,49.92,6.37,3.19,22.3,1.06,1.06,10.62,0,2.12,40.36,0,2.12,0,0,5.31,5.31,91.34,4.25,0
 96-106,0,0,6.56,0,1.09,45.9,0,2.19,0,21.86,5.46,0,16.39,4.37,4.37,3.28,0,1.09,5.46,40.44,5.46,3.28,17.49,0,3.28,14.21,0,7.65,62.29,0,2.19,0,0,9.84,4.37,95.08,9.84,0
108-118,0,0.77,7.66,0,0.77,27.57,0,1.53,0,24.51,1.53,0,10.72,5.36,6.89,0.77,0.77,9.96,8.43,29.11,10.72,3.83,21.45,0,1.53,9.96,0,1.53,44.43,0,3.06,0,0,1.53,5.36,74.3,3.83,0
120,0,0,3.92,0,0,43.12,0,3.92,0,31.36,0,0,3.92,7.84,1.96,0,0,3.92,5.88,39.2,3.92,5.88,27.44,1.96,1.96,9.8,0,1.96,31.36,0,0,0,0,0,1.96,74.47,7.84,0
