stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,immune,lateral_line,mesenchyme,mucous,muscle,neural,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
 24-34,0.82,0,0,0,0,0,0,0,0.82,0.82,3.28,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,1.72,0,0.57,0,0,0,0,2.87,0,0,0,0,2.3,0
 60-70,0,0.98,0,4.91,0.98,3.93,0,0,0,0,0.98,0,0,0,0,2.94,0
 72-82,0.98,0,1.96,4.91,0,36.32,0.98,0,0,0,3.93,0,0.98,0,0,11.78,0
 84-94,0,0,1.06,4.25,0,23.36,0,0,0,0,1.06,0,0,0,0,5.31,1.06
 96-106,0,1.09,1.09,4.37,1.09,51.36,0,3.28,0,0,2.19,0,0,0,0,8.74,0
108-118,0.77,0,0.77,1.53,0,44.43,0,2.3,0,0.77,1.53,0,0,0,0,4.6,0
120,0,0,0,5.88,1.96,48.99,0,0,0,0,1.96,1.96,0,0,0,9.8,0
