stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0.82,0.82,0,1.64,0,0,0.82,0,0,0,0.82,0.82,0.82,0,0,0.82,16.42,0,0,0,0,0,0,0.82,6.57,0,0,0
 36-46,0,0,0,0,4.83,0,0,0,0.81,0,0,0,0,1.61,0,0,0.81,11.28,0,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,4.59,0,0,0,0.57,0,0.57,0,0,1.72,0,0,0.57,9.75,0,0,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,3.93,0,0,0,3.93,0,0,0,0,10.8,0,0,0,20.61,0,0,0,0,0,0,0,1.96,0.98,0,0
 72-82,0,0.98,0.98,0,0.98,0,0,0,0.98,0,0,0,0,4.91,0.98,0,0,18.65,0.98,0,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,1.06,0,3.19,0,1.06,0,4.25,0,0,0,0,4.25,0,1.06,1.06,5.31,0,0,0,1.06,0,0,0,2.12,0,1.06,2.12
 96-106,0,0,0,0,8.74,1.09,0,0,2.19,0,0,0,0,1.09,0,0,0,7.65,0,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0.77,0.77,0.77,2.3,0,0,0.77,2.3,0,0,0,0,6.13,0,0,0.77,6.89,0,0,0,0,0,0,0,0.77,0,0.77,0
120,0,1.96,0,0,1.96,0,0,1.96,5.88,0,0,0,0,3.92,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
