stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,5,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,2.46,0,0,24.63,0,0,0,0,1.64,0,3.28,0,0,0,0
 36-46,0,0.81,2.42,0,0,0,0.81,0,0,0,0,0,0,0.81,22.56,0,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,1.15,5.16,0.57,0,0,0.57,0,0,0.57,0.57,2.87,0,0,41.89,0,0.57,0,0,0,0,5.74,0,0.57,0,0
 60-70,0,0.98,10.8,1.96,0,0,0.98,0,0,0,0,5.89,0,0.98,24.54,0,0,0,0,0.98,0,1.96,0,0,0,0
 72-82,0,0.98,7.85,0.98,0,0,4.91,0,0,0,0,1.96,0.98,0,22.58,0,0,0,0.98,0.98,0,0.98,0,0,0,0
 84-94,0,0,5.31,5.31,1.06,0,1.06,1.06,0,0,0,1.06,0,1.06,12.74,1.06,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,1.09,4.37,8.74,1.09,1.09,0,0,2.19,0,0,5.46,0,0,4.37,0,0,0,0,3.28,0,2.19,0,0,2.19,1.09
108-118,0,0,0.77,5.36,0,0,0.77,0,0,0,0,1.53,0,0,5.36,0,0.77,0,0,1.53,0,0,0.77,0,0,0
120,0,1.96,1.96,7.84,0,0,0,0,0,0,0,3.92,0,1.96,1.96,0,1.96,0,0,1.96,0,1.96,0,0,0,0
