stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,4,0,0,0,0,0,13,0,2,0,1,11,1,0,0,0,0,0
 24-34,0,9.03,0,0,0,0,4.93,0,1.64,0,0,0.82,0,0,0,0,0,0,0,4.1,0,0,0,12.31,0,0.82,0,0,0,111.64,0,0,0,0,1.64,4.93,0,0,0,0,0
 36-46,0,8.86,0,1.61,0,0,11.28,0.81,0,0.81,0,0,0,0,0,0.81,0,0,2.42,14.5,3.22,0,1.61,16.11,0,0,0,0,0,87.01,0,0,0,0.81,0.81,0.81,0,0,0,0,0
 48-58,0,5.74,0,1.15,0,0,23.53,0.57,1.72,0.57,2.3,0.57,4.59,1.72,0,0.57,0,0,1.15,53.94,1.72,0,1.15,16.07,0.57,0,0,0,0,67.14,0,0,0,0,0,3.44,0,1.15,0.57,0,0
 60-70,0,1.96,0,5.89,0,0,52.02,0,3.93,1.96,6.87,0.98,4.91,0,0,0,0,0,3.93,107.97,0.98,0,2.94,14.72,0,0,0,0,0,63.8,0,0,0,0,0,8.83,0,1.96,0.98,0,0
 72-82,0,13.74,0,12.76,0.98,0.98,74.61,2.94,0,1.96,29.45,2.94,2.94,0.98,0,0,0,1.96,30.43,179.64,3.93,0,1.96,23.56,0,0,0,0,0,31.41,0,0,0,0,0,6.87,0,10.8,1.96,3.93,0
 84-94,0,8.5,0,28.68,1.06,2.12,169.93,2.12,1.06,2.12,25.49,7.43,5.31,1.06,0,4.25,0,0,178.42,156.12,6.37,0,0,12.74,0,0,0,0,2.12,155.06,1.06,0,0,1.06,0,4.25,0,3.19,0,3.19,0
 96-106,0,10.93,0,36.06,1.09,10.93,169.39,0,4.37,1.09,54.64,7.65,1.09,2.19,2.19,0,0,0,263.38,218.57,7.65,0,6.56,51.36,0,2.19,0,0,6.56,162.83,0,0,1.09,0,0,4.37,1.09,8.74,2.19,3.28,0
108-118,0,11.49,0,93.45,2.3,30.64,180,1.53,16.85,2.3,50.55,11.49,0,1.53,0.77,5.36,0.77,1.53,546.9,188.43,6.89,2.3,5.36,38.3,0,0,1.53,0,11.49,170.81,0,0,0,0,0,7.66,0.77,6.89,1.53,1.53,1.53
120,0,3.92,0,101.91,1.96,5.88,88.19,0,11.76,3.92,31.36,5.88,0,0,1.96,1.96,0,0,207.74,137.18,3.92,0,3.92,39.2,1.96,0,1.96,0,7.84,148.94,0,0,0,0,0,3.92,0,3.92,1.96,0,0
