stage,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,36.78,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,31.47,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0
 24-34,0,0,0,0.82,0,0,1.64,8.21,4.93,0.82,0,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,0,3.22,0,0,0,0,0.81,0,0
 48-58,0,0,0.57,1.72,0,0,1.72,1.72,0.57,0.57,0,0,0,0,0.57
 60-70,0,0,0,0.98,1.96,0,0.98,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,1.96,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,0,2.12,0,0,3.19,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0.77,1.53,0.77,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0
