stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,2.46,0,0,0,0,0,0,0,0,0,0,2.46,0,2.46,6.57,0,0.82,0,0,7.39,0,0.82,1.64,0,0,0,0,0
 36-46,0,0.81,0,0,2.42,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0.81,3.22,0.81,0,0.81,0,6.45,0,0,0,0,0,0,0,0
 48-58,0,1.15,0,0,2.3,0,0,0.57,0.57,0,0,0,0,0,0.57,0.57,0,0.57,2.87,1.15,0,0,0,6.31,0,0,0,0,0,0.57,0,0
 60-70,0,1.96,0,0,3.93,0.98,0,1.96,0,0.98,0,0,0,0,0,5.89,0,1.96,11.78,0,0.98,0.98,0,3.93,0.98,0,0.98,0,0,2.94,0,0.98
 72-82,0.98,0.98,0,0,4.91,0,0,2.94,0,0,0,0,0.98,0,0,5.89,0.98,1.96,7.85,0,0,0,0,5.89,0,0,0,0,0,2.94,0.98,0
 84-94,0,2.12,1.06,0,3.19,1.06,0,1.06,1.06,0,0,0,0,0,0,4.25,0,0,4.25,2.12,0,1.06,0,12.74,0,0,0,0,0,1.06,1.06,0
 96-106,0,2.19,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,4.37,0,1.09,0,0,16.39,0,0,0,0,0,1.09,0,0
108-118,0,1.53,0,0.77,4.6,0,0.77,1.53,2.3,1.53,0,0.77,0,0,0,3.83,0.77,0,3.06,0,0.77,1.53,1.53,6.89,0,0,0,0.77,2.3,3.06,0,1.53
120,0,23.52,0,0,13.72,1.96,0,3.92,13.72,0,1.96,1.96,0,1.96,0,15.68,0,3.92,3.92,1.96,0,0,0,17.64,0,0,0,0,0,11.76,3.92,1.96
