stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,2,1,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,4.1,0,0.82,0,0,7.39,0.82,0,4.93,32.83,1.64,3.28,0,0,2.46,20.52,0,0,0
 36-46,0,0.81,0,0,0.81,0,0.81,0,4.83,0,0,0,0,16.92,0,3.22,15.31,65.26,0,0,0,0.81,0,45.12,0,0,0
 48-58,0,0.57,0,0,6.89,0.57,0,0,4.02,0,0,0,0,20.08,0,4.02,15.49,73.45,0.57,0,0,0,4.59,19.51,0.57,0.57,0
 60-70,0,0,0,0,6.87,0,0.98,0,2.94,0,0.98,0,0,21.59,0,4.91,4.91,130.54,0,0,0,0,1.96,12.76,1.96,0,1.96
 72-82,0,0,1.96,0,14.72,0,0,0,7.85,0.98,0,0,0,25.52,0,2.94,2.94,148.23,0,0,0,0,0.98,9.82,3.93,0,8.83
 84-94,0,0,0,0,12.74,3.19,0,0,4.25,0,2.12,0,0,10.62,0,2.12,3.19,69.03,0,1.06,3.19,0,5.31,5.31,2.12,0,3.19
 96-106,0,0,3.28,0,24.04,2.19,0,1.09,1.09,0,0,0,0,19.67,0,2.19,2.19,85.24,0,3.28,1.09,2.19,4.37,3.28,4.37,1.09,16.39
108-118,0,0.77,0,0.77,19.15,5.36,0,0,3.83,0,0,0.77,0.77,13.02,0,2.3,3.06,115.66,0,3.06,1.53,0,8.43,3.06,3.06,1.53,8.43
120,0,1.96,0,0,3.92,1.96,0,1.96,1.96,0,0,0,0,13.72,0,0,1.96,127.39,0,1.96,0,0,1.96,3.92,1.96,0,13.72
