stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,6.29,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,544,2,2,0,0,0,1,2,7,0,0,2,0,0,0,0,2,2,0,3,18,1,1,0,2,0,67,0,1,0,4,2,0,0,1,0,0
 24-34,0,0,0.82,364.46,3.28,8.21,0,0.82,0,0,0,0.82,0.82,0,0.82,0,0,0.82,0,13.13,4.1,4.1,4.93,35.3,0,0,0,0,0,137.9,0,0,0,1.64,12.31,0,0,4.1,0,0
 36-46,0,0,0.81,157.11,0,0,0.81,2.42,0,0,0,0,0,0,0,0,0.81,0,0,23.36,1.61,29,0,24.98,0,0,0,0,0,166.77,0,0,0,0,2.42,0,0,9.67,0,0
 48-58,0,0,0,153.21,1.72,5.74,0,1.15,0.57,1.72,0,0,0.57,0.57,0.57,0,6.31,0,0.57,16.07,2.87,75.17,1.15,29.84,0.57,1.15,0.57,0,4.02,106.15,0,0,0.57,0,5.16,0,4.02,19.51,0,0.57
 60-70,0,0,0,104.04,0,3.93,0,0,0.98,1.96,0,0.98,0,0,1.96,0,4.91,0,0,17.67,2.94,107.97,6.87,20.61,0,0.98,0,0,1.96,71.65,0,0,0,0,1.96,2.94,21.59,31.41,23.56,0
 72-82,0,0,0.98,160.01,1.96,12.76,0.98,0,0,3.93,2.94,0,0.98,0.98,2.94,0,2.94,0.98,0,13.74,1.96,94.24,8.83,17.67,0,0,0,0,2.94,71.66,0,0,0,0,0.98,9.82,35.34,71.66,65.77,0
 84-94,0,0,0,249.58,0,24.43,3.19,2.12,0,7.43,3.19,0,0,1.06,1.06,0,6.37,0,0,13.81,3.19,113.64,10.62,14.87,0,2.12,0,0,4.25,237.9,0,0,0,0,0,27.61,37.17,76.47,73.28,0
 96-106,0,0,1.09,263.38,2.19,22.95,4.37,4.37,0,6.56,10.93,0,0,3.28,6.56,2.19,4.37,1.09,0,14.21,7.65,64.48,12.02,14.21,0,1.09,0,0,16.39,133.33,1.09,0,0,0,0,51.36,18.58,81.96,98.36,0
108-118,0.77,0,0.77,206.04,0.77,9.96,2.3,5.36,0.77,2.3,13.79,0,0,0,3.06,0,3.83,0,0,7.66,7.66,53.62,9.19,16.85,1.53,0,0,0,13.79,98.04,0,0,0,0,0,58.21,6.89,59.75,61.28,0
120,0,0,0,123.47,0,3.92,7.84,7.84,0,0,3.92,0,0,3.92,3.92,0,1.96,0,0,5.88,3.92,45.08,5.88,21.56,0,0,0,0,21.56,74.47,0,0,0,0,0,15.68,11.76,64.67,90.15,0
