stage,axial,blastomeres,endoderm,epidermis,erythrocytes,glial,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,26.29,0,0,10.51,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,22.03,3.15,0,3.15,0,3.15,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09
