stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
 24-34,0,0,0,0,2.46,0,2.46,0,0,0,0,0,0,17.24,0,0,7.39,8.21,0,6.57,0,0,0,0,0,0.82,0,0,0.82,0,0,0,3.28
 36-46,0,0,0,0,1.61,0,0.81,0,0,0,0,0,0,21.75,0.81,0,0.81,12.89,4.03,12.09,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,0,0,0,4.02,0,2.3,0,0,0.57,0,45.33,0,0,0,35.58,4.59,8.61,0,0,0,0,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,1.96,0,9.82,0,0,0.98,0,0,0,72.63,0.98,0,0,43.19,3.93,17.67,0,0,0,0,0,0.98,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,13.74,0,0,1.96,0,0,0,58.9,0,0,0,60.86,10.8,21.6,0,0,0.98,0,0.98,0.98,0,0.98,0,0,0.98,1.96,0
 84-94,0,0,0,0,2.12,0,9.56,1.06,2.12,0,1.06,1.06,0,104.08,0,0,0,29.74,4.25,11.68,0,0,1.06,0,0,0,0,0,2.12,1.06,0,0,0
 96-106,0,0,0,0,2.19,2.19,10.93,0,2.19,2.19,2.19,0,0,102.73,0,1.09,0,44.81,3.28,19.67,1.09,0,3.28,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0,8.43,0,2.3,1.53,0,0,0.77,150.89,0,0.77,0,49.79,1.53,9.96,0,0.77,0,0,0,1.53,0,0,0.77,0,0,0,0.77
120,0,0,0,0,3.92,0,9.8,0,0,3.92,0,0,0,78.39,0,0,0,41.16,0,11.76,0,0,0,0,0,1.96,0,0,0,0,0,0,0
