stage,axial,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,liver,mesenchyme,mucous,muscle,neural,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,10,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0
 24-34,0,56.64,0,0,11.49,0,0,0,0,0.82,0.82,0,4.93,0,0.82,0,11.49,0,1.64,0
 36-46,0,31.42,0,1.61,8.86,0.81,0,0,0,3.22,0,0.81,1.61,0,0.81,0,5.64,0,5.64,0
 48-58,0,22.38,0,0.57,13.77,0,0.57,0.57,0,1.15,1.15,0.57,0.57,0,0,0,1.15,1.72,4.02,0
 60-70,0,21.59,0,0,11.78,0,0,2.94,0,0,0,0.98,0.98,0,0,0,3.93,0,0.98,0
 72-82,0,30.43,0.98,2.94,19.63,0,0,8.83,0,1.96,0,0,1.96,0,0,0,2.94,0.98,6.87,0.98
 84-94,0,41.42,0,0,22.3,0,0,3.19,0,1.06,0,0,0,0,0,0,3.19,1.06,6.37,0
 96-106,0,55.74,0,0,22.95,0,1.09,12.02,0,2.19,0,2.19,5.46,0,0,0,6.56,0,9.84,0
108-118,0,51.32,0,0.77,39.06,0,0,4.6,0.77,0,0,0,3.06,0.77,0,0,3.06,0,2.3,0
120,0,45.08,0,0,33.32,0,0,9.8,0,0,0,0,0,0,0,0,1.96,0,1.96,0
