stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,131.78,2266.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304.62,0,0,0,0,0,0
  5-6,79.69,1152.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,12.26,753.95,0,0,0,0,0,0
  7-9,10.51,13.14,13.14,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,281.27,5.26,0,68.35,102.52,0,0,0,0,0,0
 10-12,0,0,9.44,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,69.23,12.59,0,22.03,40.91,0,3.15,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,7,11,0,0,6,2,0,2,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0.82,0.82,0,0,0,0,0,0,0.82,9.03,0,0,0,0.82,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0,0,0,3.22,0,0,15.31,0,0,0,0,0,0,6.45,0,0,0
 48-58,0,0,0,0.57,0,0,5.74,0,0.57,0,0,0,0.57,2.3,0,0.57,14.35,0,0.57,0,1.15,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,4.91,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,8.83,0,0.98,0,0,1.96,0,4.91,0,0,14.72,0,0,0,0.98,0,0,1.96,0.98,0.98,0
 84-94,0,0,0,0,2.12,1.06,2.12,0,0,1.06,0,2.12,0,2.12,0,0,6.37,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,3.28,1.09,2.19,0,0,1.09,0,0,1.09,4.37,0,1.09,4.37,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0.77,1.53,0,1.53,0,0,0,1.53,3.06,0.77,0,4.6,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,1.96,1.96,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
