stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,4,1,5,0,0,0,0,4
 24-34,0,0,0,0,0,5.75,0,0,0,0.82,0,0,0,0,0,13.95,0,0,4.93,0.82,0,0,0,0,0,0.82,1.64,0,0,0,27.91
 36-46,0,0,0,0,0,12.89,0,0,0,0,0,3.22,0,1.61,0,9.67,1.61,0,3.22,1.61,0,0,0,0,0,0,0.81,0,1.61,0,33.84
 48-58,0,0,0,0,0,8.61,0,0,0,0,0,0,0,7.46,0,10.9,0.57,0,5.16,0,0,0,0,0,0,0,1.15,0,0.57,0,44.76
 60-70,0,0,0,0,0,16.69,0,0,0,0,0,2.94,0,42.21,0,5.89,1.96,0,3.93,0,0,0,0.98,0,0,0,2.94,0,0,0,22.58
 72-82,0,0,0.98,0,0,14.72,0,0,0,0,0.98,5.89,0,69.7,0.98,4.91,6.87,0.98,7.85,0,0.98,0.98,3.93,0,0,0,0.98,0,0.98,0.98,28.47
 84-94,0,0,0,1.06,1.06,32.92,1.06,0,0,0,0,1.06,0,70.09,0,6.37,1.06,0,4.25,0,0,2.12,5.31,0,0,0,1.06,0,0,1.06,15.93
 96-106,0,0,0,4.37,0,18.58,0,1.09,3.28,0,0,1.09,1.09,61.2,1.09,8.74,1.09,0,2.19,1.09,1.09,0,16.39,0,0,0,1.09,1.09,2.19,1.09,17.49
108-118,0,0,0,2.3,0,13.02,0,0,3.83,0,0,2.3,2.3,81.96,0,6.13,3.06,0.77,0.77,0,0,0.77,2.3,0,0,0,0.77,0,0.77,0,10.72
120,0,0,0,1.96,1.96,1.96,0,0,5.88,0,0,3.92,3.92,43.12,0,3.92,3.92,0,0,0,0,0,7.84,0,0,0,0,0,0,0,1.96
