stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,392.3,0,0,0,0,0,6.13,0,0,0,0,0,0,6.13,0,0,0,12.26,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,18.4,0,2.63,0,0,2.63,0,0,0,0,0,0,31.54,10.51,0,0,39.43,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,1.64,0.82,0,0,2.46,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,6.45,0,0,0,0,0.81,0,0,1.61,0,0,0,0
 48-58,0,0,0,0.57,2.87,1.72,0,0,0.57,0.57,0.57,0,1.15,0,9.75,0,0.57,0,0,1.72,0,0,0.57,0,0,0,0
 60-70,0,0,0,1.96,8.83,2.94,0,0,0,7.85,3.93,0.98,0.98,0.98,19.63,0.98,0,0.98,0,0.98,0,0,1.96,0,0,0,0.98
 72-82,0,0,0,1.96,11.78,0.98,0,0,1.96,12.76,6.87,1.96,0.98,0,6.87,0,0,0,0,6.87,0,0,0.98,0,0,0,0
 84-94,0,0,0,3.19,12.74,0,0,1.06,2.12,4.25,2.12,0,0,0,11.68,0,0,0,0,2.12,0,0,0,0,1.06,0,0
 96-106,0,0,0,10.93,3.28,1.09,7.65,0,1.09,24.04,2.19,0,0,1.09,5.46,0,0,0,0,5.46,0,0,0,1.09,0,1.09,0
108-118,0,0,0,6.89,3.83,0.77,0.77,0,0.77,8.43,3.06,0.77,0,0,1.53,0,0,0,0,5.36,0,0,0,0,0.77,0,0
120,0,0,0,3.92,3.92,0,0,0,1.96,1.96,0,1.96,0,0,3.92,0,0,0,0,1.96,0,0,0,1.96,0,0,0
