stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,3,14,0,0,0,2,1,3,0,4,3,0
 24-34,0,0,0.82,0.82,1.64,12.31,0,0,0,0,0,1.64,0,6.57,0,1.64,42.68,0.82,2.46,0,0.82,0,0,0,2.46,4.1,1.64
 36-46,0,0,0,0.81,0,4.83,0,0,0,0,0,0.81,0,0.81,0,0.81,15.31,0,0,0,0,0,0,0.81,0,2.42,0
 48-58,0,0,0,1.15,0.57,7.46,0,0,0,0,0.57,0,0,1.72,0,0,13.2,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0.98,0,6.87,0,1.96,0.98,0,0,0,0,0.98,0.98,0,8.83,0,0.98,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0.98,0,4.91,0,1.96,0,0,0.98,0,0,4.91,0.98,0.98,8.83,0,0,0,0.98,0,0,0,0,0.98,0.98
 84-94,0,0,0,2.12,0,3.19,1.06,1.06,0,0,0,0,0,2.12,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,2.19,0,0,0,0,0,2.19,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,3.06,0,1.53,0,0,0.77,0,0.77,0,0.77,0.77,3.06,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,1.96,1.96,1.96,0,0,0,0,1.96,0,0,0,0,0,13.72,1.96,0,0,0,0,0,0,0,0,1.96
