stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,liver,mesenchyme,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,15.77,0,5.26,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,10.8,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,1.96,87.37,0,0.98,1.96,8.83,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,53.1,0,0,1.06,9.56,0,0,1.06,0,0,0
 96-106,0,0,2.19,0,4.37,119.12,1.09,1.09,2.19,9.84,1.09,0,1.09,0,1.09,0
108-118,0,0,0.77,0,2.3,107.23,0,0.77,1.53,6.13,0,0,0.77,0,0,0.77
120,0,0,0,0,1.96,96.03,0,0,0,3.92,0,0,0,0,0,0
