stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,31.54,5.26,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,25.18,0,0,12.59,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,59.79,47.2,0,0,286.37,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,59,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,29,0,0,2,72,38,0,1,63,0,0,0,154,0,0,32,53,0,0,6,0,0
 24-34,0,0,32.83,0,0,0,0,5.75,4.1,0.82,0,1.64,0,0,0,0,0,0.82,77.16,0,0,9.85,9.85,5.75,1.64,0,0,0,1.64,0,0.82,0,0.82,58.28,46.79,0,0,12.31,0,0
 36-46,0,0,9.67,0,0.81,0,1.61,12.89,8.86,0,0,1.61,0,0,0,0,0,0,123.27,0,0,15.31,12.89,4.03,0.81,0,0,0.81,0.81,0,0,0,1.61,0.81,44.31,0,0,8.86,0,0.81
 48-58,0,0,8.61,0,4.59,0,1.15,10.9,12.62,0,0.57,1.72,0,0,0,0.57,0,0.57,236.41,0,0,6.89,14.35,1.72,0,1.15,0,1.15,0,0,0,0,0,0,40.74,0,0,1.72,0,1.72
 60-70,0,0,5.89,0,7.85,0.98,0,23.56,16.69,0,0.98,0,0,0,0,0.98,0,0,448.56,0,0.98,10.8,14.72,0.98,0,0.98,0,0,0,0,0,0,0,0,20.61,0,0.98,3.93,0,3.93
 72-82,0,0,11.78,0,13.74,0.98,0.98,12.76,19.63,0,0,0.98,0,0,2.94,1.96,0.98,2.94,556.6,0.98,0,16.69,28.47,1.96,0,0.98,0,0.98,0.98,0,0,0,0,0,9.82,0,4.91,1.96,3.93,6.87
 84-94,0,0,20.18,0,18.05,0,5.31,18.05,10.62,0,0,6.37,0,1.06,4.25,2.12,0,2.12,408.88,1.06,1.06,19.12,15.93,0,1.06,4.25,0,1.06,7.43,0,0,0,0,0,9.56,1.06,4.25,5.31,4.25,5.31
 96-106,0,0,17.49,0,15.3,2.19,4.37,8.74,17.49,1.09,0,3.28,0,0,1.09,2.19,0,1.09,285.23,1.09,1.09,9.84,13.11,2.19,5.46,0,0,0,3.28,0,0,0,0,0,4.37,1.09,2.19,2.19,0,5.46
108-118,0,0,21.45,0,9.19,0.77,6.89,7.66,9.96,3.06,0,1.53,1.53,0,3.83,0.77,0,0.77,243.58,1.53,1.53,8.43,18.38,0,0,0.77,0,0.77,1.53,0,0,0,0,0,3.83,0,0.77,1.53,0.77,3.83
120,0,0,13.72,1.96,7.84,1.96,1.96,7.84,9.8,0,0,0,0,1.96,0,1.96,0,0,178.34,0,3.92,3.92,11.76,0,1.96,3.92,0,0,3.92,1.96,0,0,0,0,1.96,0,1.96,0,0,1.96
