stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,28.92,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,1,0,2,4,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0.82,5.75,0,0.82,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,2.42,0,0.81,0.81,0,0,0,0,1.61,0,0,15.31,0,0,0,0.81,0,0,0,12.09,0,0
 48-58,0,0,0,2.3,0,0,1.15,0,0,0,0,4.59,0,0,12.62,0,0,0,0,0,0,0,4.59,1.15,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,0,0,1.96,0,0,0,0,2.94,0,0,3.93,0,0,0,0.98,0,0,0,1.96,0,0
 84-94,0,1.06,0,3.19,0,0,1.06,0,0,1.06,0,0,0,0,10.62,0,0,0,2.12,0,0,0,0,2.12,0
 96-106,0,0,0,2.19,0,0,0,0,1.09,0,1.09,1.09,0,1.09,4.37,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0.77,0.77,0.77,0,0.77,0.77,0.77,0,0.77,0,3.83,0.77,0,5.36,0,0,0,0,0,0,0,0,1.53,0.77
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,1.96,0,0,0,0,0,0,0,0,0
