stage,eye,fin.mesenchyme,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,presomitic.mesoderm,somites,vascular.smooth.muscle,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,12.59,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,2,0,0
 24-34,0,0,2.46,0,1.64,0,0,0,0,0,0
 36-46,0,0,3.22,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,1.96,0.98,0,0.98,0,0,0,0.98,0
 72-82,0.98,0,0,0,0,0,0,0,0,0.98,0
 84-94,1.06,0,2.12,0,0,0,0,0,0,0,2.12
 96-106,2.19,0,2.19,0,0,0,0,0,0,0,0
108-118,0.77,0.77,1.53,0,0,0.77,0,0,0,0,0.77
120,0,0,3.92,1.96,0,1.96,0,0,0,0,0
