stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,57.83,0,5.26,0,0,110.41,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,646.66,2.63,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,18.88,0,3.15,91.26,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,1243.05,3.15,0,0,110.14,0,22.03,0,9.44,0,25.18,3.15,0,0,0,0,0
 14-21,0,0,0,8,557,9,242,0,0,0,2,9,2,1,0,6,0,0,31,6,30,2,0,23,628,4,1,4,2,0,713,29,52,458,1540,41,0,0,1,0,0
 24-34,0,0.82,0.82,18.06,227.38,1.64,179.77,205.21,7.39,0.82,4.93,11.49,0,0.82,0,3.28,1.64,1.64,30.37,2.46,70.59,17.24,0,71.41,415.35,4.1,1.64,3.28,0.82,0,1571.94,1.64,56.64,246.26,619.75,37.76,0,0,12.31,0,1.64
 36-46,0,0,0,2.42,54.79,0,59.62,275.54,6.45,0,5.64,10.47,0,2.42,0,1.61,0.81,0.81,12.89,1.61,38.67,16.92,0,34.64,150.66,0.81,4.03,2.42,0,0.81,1496.93,0,41.89,152.27,29,39.48,0,0,2.42,0,0
 48-58,0,0,0,0.57,39.02,0,189.36,206.57,14.35,1.72,12.05,6.31,0.57,4.02,0,0,0.57,0.57,4.59,2.3,54.51,14.35,1.15,62.54,104.43,0.57,0.57,3.44,0,0.57,1212.45,0,30.41,125.66,0.57,20.66,0,1.72,1.15,0,1.72
 60-70,0,0,0,0,64.78,0.98,661.55,112.88,19.63,2.94,10.8,26.5,0,1.96,0.98,2.94,0.98,0.98,9.82,0,59.87,15.7,2.94,63.8,66.74,1.96,0,0.98,0,0,1075.75,0,33.37,79.5,0,8.83,1.96,3.93,0.98,0,0.98
 72-82,0,0,10.8,0.98,123.69,9.82,785.33,73.62,23.56,1.96,14.72,161.97,0,3.93,0,3.93,0.98,2.94,20.61,0.98,91.29,11.78,8.83,82.46,70.68,0,1.96,3.93,0.98,0.98,974.79,0,46.14,50.06,0,2.94,2.94,7.85,4.91,7.85,2.94
 84-94,1.06,0,6.37,4.25,261.26,0,761.48,86.03,66.91,0,10.62,315.43,0,7.43,1.06,21.24,1.06,2.12,72.22,2.12,55.23,23.36,8.5,94.52,57.35,2.12,1.06,2.12,0,1.06,2365.16,0,126.38,77.53,0,5.31,25.49,6.37,4.25,7.43,2.12
 96-106,0,0,10.93,4.37,259,4.37,384.68,79.78,65.57,2.19,15.3,440.42,0,5.46,4.37,17.49,3.28,5.46,78.68,1.09,66.66,29.51,6.56,110.38,120.21,2.19,3.28,4.37,0,0,1413.05,0,102.73,67.76,0,1.09,18.58,7.65,5.46,10.93,1.09
108-118,0,0,10.72,9.96,252,1.53,273.45,52.85,75.83,0.77,9.19,540,0,6.89,0,15.32,5.36,2.3,134.04,0,48.26,20.68,3.06,130.21,103.41,0,0.77,5.36,0,0.77,1248.52,0,132.51,52.85,0,0,13.02,5.36,1.53,7.66,3.83
120,1.96,0,7.84,3.92,176.38,9.8,150.9,45.08,62.71,3.92,15.68,391.96,1.96,0,1.96,11.76,1.96,0,127.39,0,31.36,13.72,5.88,150.9,105.83,0,1.96,1.96,0,1.96,879.94,1.96,86.23,21.56,0,0,7.84,1.96,0,15.68,1.96
