stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,3,1,0,0,0,0,8,0,0,0,0,0,1,0,2,5,2,0,0,0,0,0,0,1,18,1,2,0
 24-34,0,0,7.39,1.64,0,0,0.82,0,0,6.57,0,0,0,0,1.64,2.46,0,1.64,6.57,0,0.82,0,0,0,0,0,0,34.48,1.64,2.46,0
 36-46,0,0.81,0.81,0,0,0,1.61,0,0,0.81,0,0,0,0,0,3.22,0,0,9.67,0,0.81,0,0,0,0.81,0,0,16.11,0.81,4.83,0.81
 48-58,0,0,0,0,0,0,8.61,0,0.57,0,0,0,0,0,0,1.15,0,0.57,9.75,0,0,0,0,0,0.57,0,0,12.62,0,1.72,0
 60-70,0,0,0,0,0,0,20.61,0,0,0,0,0,0,0,0.98,0.98,0,0,10.8,0,0.98,0,0,0,1.96,0,0,12.76,0,1.96,0
 72-82,0,0,0,1.96,0,0,45.16,0,4.91,0,0.98,0,0,0.98,1.96,4.91,0,0,15.71,0,1.96,0,0,0.98,0,0,0,14.72,0,3.93,0
 84-94,0,0,0,2.12,0,0,96.65,0,4.25,2.12,0,1.06,0,0,3.19,3.19,0,0,11.68,0,0,0,0,0,1.06,1.06,0,53.1,0,0,0
 96-106,0,1.09,0,4.37,0,1.09,111.47,0,7.65,1.09,0,0,2.19,0,5.46,5.46,1.09,0,7.65,1.09,1.09,0,0,1.09,1.09,0,0,48.09,0,0,0
108-118,0,0,3.06,3.06,0.77,2.3,124.85,0.77,6.89,1.53,0,0,0,0,8.43,0.77,0,0.77,10.72,0.77,0,1.53,0,0.77,1.53,0,0,36,0,0.77,0
120,0,0,0,0,0,0,58.79,0,1.96,1.96,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0,31.36,0,0,0
