stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,1,0,1,2,14,0,0,0,0
 24-34,0,0,0,0,0,4.1,0,0,0,1.64,0,0,0,0,0,0,0,2.46,0,0,117.38,0.82,1.64,0,0,0,0,0,27.91,0,0,0.82,0
 36-46,0,0,0,0.81,0,12.89,0.81,0,0,0,0,0,0,0.81,0,0.81,0,0.81,0.81,0,215.92,0,0,0,0,0,0,0,46.73,0,0,0,0
 48-58,0,0,0,0,0,49.35,0,0,0,6.31,0,0.57,0,0,0,1.15,0,4.59,0,0,381.01,0,0,0.57,0,0,1.15,0,71.73,0,0,1.15,0
 60-70,0,0,1.96,0,0,124.65,0.98,0,0.98,9.82,0,0,0.98,0,0,0,0,7.85,0,1.96,564.38,0,0.98,0.98,0,0,0.98,0,85.39,0,0,0,0
 72-82,0,0,2.94,2.94,0,156.08,0,0.98,0.98,26.5,1.96,0,0,0,0,0,0,12.76,0,0.98,444.69,0,2.94,0,0,0,1.96,0,47.12,0,0,0,2.94
 84-94,0,0,7.43,3.19,1.06,101.96,0,1.06,0,19.12,2.12,0,0,1.06,0,0,1.06,4.25,1.06,0,262.32,1.06,0,0,0,1.06,3.19,0,23.36,1.06,0,3.19,1.06
 96-106,0,0,6.56,4.37,0,88.52,0,0,0,14.21,0,0,2.19,1.09,1.09,0,1.09,13.11,1.09,1.09,218.57,0,0,0,0,0,2.19,0,10.93,0,0,0,1.09
108-118,0,0,3.83,0,0,71.23,0,0.77,0.77,10.72,0.77,0,0,0,1.53,0,0,3.06,0,0,211.41,0,1.53,0.77,0,0,1.53,0,9.19,0,0,1.53,0
120,0,0,5.88,0,0,84.27,0,1.96,1.96,15.68,0,0,1.96,0,0,0,0,7.84,1.96,0,248.89,0,1.96,0,0,0,0,0,15.68,0,1.96,1.96,0
