stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,11,0,0,1,0,2,2,8,9,0,1,0
 24-34,0,1.64,0.82,1.64,0,0,0,0.82,0,0,0,0,0,1.64,1.64,13.95,0,0,0,1.64,0,0,0.82,4.1,0,0,0
 36-46,0,0.81,0,0,0,0,0,1.61,0,0.81,0,0,0.81,4.83,0.81,13.7,0,0,0,0.81,0,0,0,4.03,0,0.81,0
 48-58,0,0,0,6.89,0,0,0,1.15,0.57,0,0,0,0,6.31,1.15,14.35,0,0.57,0,0.57,0,0,0,4.59,0,0,0
 60-70,0,0,0,9.82,0,0,0,2.94,0.98,0,0,0,0,3.93,0.98,17.67,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,1.96,0,12.76,0.98,0,0.98,1.96,0.98,0,0,0,0,7.85,2.94,20.61,0,0,0,0.98,0,0,0,0.98,0.98,0.98,0
 84-94,0,0,0,3.19,0,0,1.06,2.12,0,1.06,1.06,0,0,2.12,3.19,4.25,0,0,0,1.06,0,0,0,0,0,0,1.06
 96-106,0,2.19,0,2.19,1.09,1.09,0,0,0,0,0,0,0,7.65,0,9.84,0,0,0,0,0,0,0,0,0,0,0
108-118,0.77,0,0,2.3,0,0,0,0,0,0,0,3.06,0,4.6,0,9.96,0,0.77,0,2.3,0,0,0,0,0,0,0
120,0,1.96,0,7.84,3.92,0,0,0,0,1.96,0,0,0,0,3.92,9.8,3.92,0,0,1.96,0,0,0,0,0,0,0
