stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,6,0,0,0,0,0,0,2,1,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0,1.64,0,0,0,0,5.75,0,0,0,0,0.82,2.46,0,0.82,0,0,0,0
 36-46,0,0,0,0,1.61,0,0.81,1.61,0,0,0,0,0,0,0,1.61,0,0,8.06,0,0,0,0,1.61,3.22,0,3.22,0,0,1.61,0
 48-58,0,2.87,0,0,7.46,0,0.57,2.87,0,0,0,0,1.72,0,0,6.31,0,1.72,11.48,0,0,0,0,0,1.72,0,1.15,0,0,0,0
 60-70,0,8.83,0,0,11.78,0,0,41.22,0,0,0,0.98,0,0,0,33.37,0,2.94,9.82,0,0,0,0,1.96,2.94,0,2.94,0,0.98,0,0
 72-82,0,15.71,0,0,17.67,0,0,57.92,0,0,0.98,0,3.93,0,0,45.16,0,7.85,19.63,0.98,0,0,2.94,0,1.96,0,2.94,0,2.94,0,0
 84-94,1.06,27.61,0,1.06,13.81,1.06,0,39.3,0,1.06,9.56,0,1.06,0,0,30.8,1.06,1.06,6.37,3.19,0,0,1.06,2.12,15.93,0,1.06,0,2.12,0,1.06
 96-106,0,38.25,0,1.09,10.93,0,1.09,49.18,2.19,0,9.84,0,3.28,1.09,0,29.51,1.09,8.74,9.84,3.28,0,0,5.46,1.09,9.84,0,2.19,0,1.09,0,0
108-118,0,42.89,0,2.3,9.96,0.77,0.77,57.45,1.53,0,7.66,0,4.6,1.53,0,32.17,1.53,3.83,7.66,6.13,0.77,0,3.83,1.53,9.96,0,0.77,0.77,0,1.53,0
120,0,50.95,1.96,0,17.64,1.96,0,88.19,0,0,5.88,1.96,1.96,0,0,35.28,1.96,15.68,11.76,3.92,0,1.96,1.96,0,9.8,0,1.96,0,0,1.96,0
