stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
 24-34,2.46,0,0.82,0,0,0,0,0.82,0,0,0,0,0,12.31,0,0,0,0.82,0,0
 36-46,0,0,3.22,0,0.81,0,0,0,0,0,0,0,0,28.2,0,0,0,5.64,0,0
 48-58,1.15,0.57,9.75,0,2.87,0,0,0,0,1.15,0,0,0,38.44,0,1.15,0,6.89,0,0
 60-70,1.96,0,19.63,0,5.89,0,0,0,0,0.98,0,0,0,73.61,0,0,0,15.7,0.98,0
 72-82,2.94,0.98,22.58,0.98,4.91,0,0.98,0,0.98,2.94,0,0,0,112.89,0,0,0,8.83,0,0
 84-94,8.5,0,18.05,1.06,7.43,0,0,0,0,2.12,1.06,1.06,0,54.16,0,0,0,3.19,0,0
 96-106,9.84,0,20.76,1.09,4.37,0,0,1.09,0,0,0,0,0,62.29,0,0,0,5.46,0,1.09
108-118,3.83,0,13.02,1.53,5.36,1.53,0,1.53,0,0.77,0,0,0.77,51.32,0.77,0,0,4.6,0,0
120,3.92,0,11.76,0,7.84,0,0,0,0,0,0,0,0,52.91,0,0,1.96,3.92,0,0
