stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,4.1,0,0,0,0,0,0,0.82,0,0,0,3.28,0,3.28,0,0,0,14.78,0.82,1.64,0,0,0,0.82,0,0,4.93,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,1.61,2.42,0,0,0,0,0,0,0,0,3.22,0,0,0.81,34.64,0,10.47,0,0,0,0.81,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,9.75,0.57,0,1.15,2.3,0,0,0.57,2.3,0,0,0.57,1.15,6.31,0.57,0,0.57,62.54,0,8.61,0,0,0,0,1.15,0,1.72,0,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,57.91,0,0,0,1.96,0,0,0,1.96,0.98,4.91,0,0,18.65,0,0,1.96,120.73,0,8.83,0,0,0,0,5.89,0,7.85,0,0,0,0,0
 72-82,0,0,0,2.94,1.96,0,216.95,0,0,5.89,17.67,1.96,0,0,10.8,0,4.91,0,0,52.03,0.98,1.96,2.94,213.02,0.98,13.74,2.94,0,0,1.96,15.71,0,10.8,0.98,0.98,0,5.89,0.98
 84-94,0,0,0,3.19,1.06,0,156.12,0,1.06,4.25,10.62,1.06,1.06,1.06,13.81,2.12,4.25,0,0,32.92,0,1.06,3.19,89.21,0,8.5,2.12,0,0,4.25,50.98,1.06,2.12,0,1.06,2.12,1.06,0
 96-106,0,2.19,0,3.28,0,0,225.13,0,1.09,2.19,18.58,0,0,1.09,13.11,1.09,7.65,5.46,0,51.36,1.09,1.09,3.28,130.05,0,33.88,6.56,0,3.28,2.19,53.55,0,4.37,1.09,3.28,1.09,4.37,0
108-118,0,0.77,0,3.83,1.53,0.77,212.17,0,0,2.3,21.45,0.77,0,0,13.02,0.77,4.6,1.53,0,45.19,0,2.3,2.3,116.43,0.77,20.68,3.83,0,0,1.53,42.89,0,3.83,0,0,2.3,2.3,0
120,0,0,0,9.8,0,0,199.9,3.92,0,3.92,23.52,0,0,1.96,15.68,0,9.8,3.92,0,25.48,0,0,0,129.35,0,27.44,1.96,0,0,9.8,41.16,3.92,9.8,0,0,5.88,1.96,0
