stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,lateral.line,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,1,0,3,1,0,0,1,0,0,0
 24-34,0,0.82,0,0,2.46,0,0,0,0,0,0,0,9.85,0,0,0,3.28,0,1.64,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0.81,0,2.42,0.81,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,3.44,0,2.3,0,0,0,0.57,0,3.44,0,0,2.87,0.57,0,0,0
 60-70,0,0,0,0,5.89,0,1.96,0,0,0,0.98,0,3.93,0,0,0.98,2.94,0,0,0
 72-82,0,0,0.98,0,6.87,0,1.96,0,0,0.98,2.94,0.98,4.91,2.94,0,0.98,2.94,0,0,0
 84-94,0,0,1.06,1.06,1.06,0,0,0,0,0,1.06,0,0,0,0,3.19,1.06,0,0,0
 96-106,0,0,2.19,1.09,5.46,1.09,1.09,0,0,0,2.19,0,4.37,0,0,2.19,0,1.09,0,0
108-118,0,0,0.77,0,7.66,0,2.3,1.53,1.53,0,0.77,0.77,3.06,0.77,0,4.6,0,0,0,0.77
120,0,0,3.92,0,5.88,0,3.92,0,0,0,0,0,7.84,0,0,7.84,0,0,0,0
