stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,1,0,1,1,5,0,0,0,0,6
 24-34,0,0,2.46,0,0,5.75,0.82,0,0,4.1,0.82,0,0,1.64,0,2.46,0,0,27.09,0,0,0,0.82,36.94,0.82,0,0,0,0,7.39,0,0,0.82,0,16.42,0,0,2.46,0,109.17
 36-46,0,0,2.42,0,0,6.45,7.25,0,0,9.67,0,0,0,1.61,0,1.61,0,0.81,70.09,17.72,0,0,0,36.26,0.81,0,0,0,0,4.83,0,0.81,0.81,1.61,20.14,0,0,2.42,0,138.58
 48-58,0,0,1.72,0,0,18.36,14.92,0,1.15,10.33,0,0,1.15,2.3,0,6.89,0,0.57,41.31,83.2,0,0,1.72,47.05,0,0,0,0,0,6.89,0,0,0,0,12.62,0,0,2.3,0,147.47
 60-70,0,0,18.65,0,0,19.63,20.61,0.98,1.96,29.45,0.98,0,0.98,0.98,0,0,0,0,21.59,150.17,0,1.96,2.94,61.84,0,0,0,0,0,6.87,0,0,0,0,6.87,0,0.98,2.94,0,136.43
 72-82,0,0,23.56,1.96,0,87.37,76.57,2.94,6.87,144.3,3.93,0,0.98,6.87,0.98,4.91,0.98,2.94,26.5,390.7,0,6.87,3.93,123.69,4.91,0.98,0.98,0.98,0,10.8,0,0,0,0,6.87,0,12.76,3.93,2.94,97.18
 84-94,0,0,49.92,2.12,0,61.6,110.45,10.62,7.43,82.84,3.19,0,0,8.5,0,6.37,0,0,54.16,333.48,1.06,4.25,4.25,61.6,1.06,0,0,0,0,38.23,0,1.06,0,0,9.56,0,11.68,1.06,3.19,77.53
 96-106,0,1.09,84.15,15.3,3.28,126.77,243.7,16.39,14.21,175.95,5.46,0,2.19,24.04,3.28,1.09,1.09,9.84,31.69,427.3,0,5.46,17.49,126.77,4.37,3.28,5.46,0,2.19,114.75,0,1.09,0,0,7.65,1.09,7.65,10.93,4.37,63.39
108-118,0,0,142.47,3.06,1.53,80.43,166.98,25.28,9.96,150.13,0.77,0,1.53,14.55,2.3,3.83,2.3,7.66,50.55,473.37,3.06,12.26,15.32,147.83,13.02,1.53,2.3,0,1.53,205.28,0,1.53,0.77,0,5.36,2.3,11.49,6.89,4.6,62.81
120,0,0,131.31,15.68,1.96,72.51,115.63,25.48,3.92,141.1,3.92,0,1.96,13.72,3.92,0,1.96,3.92,15.68,486.03,0,17.64,21.56,99.95,7.84,0,7.84,0,0,115.63,0,1.96,1.96,0,9.8,1.96,3.92,0,1.96,23.52
