stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,ionocyte,iridophores,liver,mesenchyme,neural,notochord,pronephros,spinal.cord,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,4.93
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,12.09
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07
 60-70,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,15.7
 72-82,0,0,0.98,0.98,0.98,4.91,0.98,0.98,0,0,0.98,0,0,0.98,10.8
 84-94,0,1.06,1.06,0,1.06,16.99,0,0,0,2.12,2.12,0,0,0,6.37
 96-106,0,0,0,0,0,6.56,0,0,1.09,1.09,1.09,0,1.09,0,8.74
108-118,0,0,0,0,0,19.15,0.77,0,0.77,0.77,2.3,0,0,0,6.13
120,0,0,0,0,0,23.52,0,0,0,0,1.96,0,0,0,0
