stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,474.41,9764.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.52,0,0,0,0,0,0,0,0,0,0
  5-6,202.28,2292.48,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,36.78,18.39,0,0,18.39,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,10.51,0,0,7.89,0,0,0,0,0,10.51,0,0,0,0,0,0,0,205.04,5.26,0,0,55.2,0,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,31.47,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,16,0,1,0,2,0,0,0,3,0,3,3,0,0,0,0,0
 24-34,0,0,0,1.64,0,3.28,0,0,0,0.82,0,0,0,0,0,0,10.67,0,0.82,31.19,0,0,0.82,0,0,0.82,0,0,0,0,5.75,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,5.64,0,0,0,0,0,0,0,0,0,0,9.67,0,2.42,29.81,0,0,0,0,0,1.61,0,0,0,0,5.64,0,0,1.61,0,0
 48-58,0,0,0,1.72,0,7.46,0.57,0.57,0.57,1.72,0,0,0,0,0,0,10.33,0,0,10.33,0,0,0,0,0.57,0,0,0,0,0,3.44,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,0.98,0,0,0.98,4.91,0,0,0,0,0,0.98,10.8,0,0.98,4.91,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0,1.96,0,0,0,33.38,0.98,0,0,0.98,0.98,0,10.8,0.98,1.96,8.83,0,0,0.98,0,0,0,0,0,0,0,2.94,0.98,0,2.94,1.96,0
 84-94,0,0,0,2.12,1.06,7.43,0,0,0,18.05,0,1.06,1.06,0,0,0,6.37,1.06,2.12,8.5,0,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,0
 96-106,0,0,0,3.28,0,2.19,0,0,1.09,27.32,0,0,0,3.28,0,0,7.65,1.09,2.19,5.46,0,0,1.09,0,0,1.09,0,0,0,0,7.65,0,0,2.19,0,0
108-118,0,0,0,1.53,0,2.3,0,0,0.77,22.21,0,0,0,0,0,0,7.66,0,0.77,7.66,0,0,0.77,0,0,0,0,0,0,0,4.6,0,0.77,0.77,0,0.77
120,0,0,0,0,0,1.96,0,0,0,9.8,0,0,1.96,1.96,0,0,9.8,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0
