stage,axial,blastomeres,eye,heart,immune,mesenchyme,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm
  3-4,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,2.63,0,0
 14-21,0,0,0,1,0,1,4,0,0,0,1
 24-34,0,0,0,0,0,0.82,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0
