stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,6.29,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,1,0,1,0,9,0,0,0,0,1,2,0,0,8,0
 24-34,0,0.82,0,0,0,0,0,1.64,0,3.28,0.82,8.21,0,0,0,0,0.82,0,0,0.82,2.46,0
 36-46,0,0,0,0.81,2.42,0,0,1.61,0,0.81,0,7.25,0,1.61,0,0,0.81,0,0,0,4.83,0
 48-58,0,0,0,0,1.15,0,0.57,0.57,0,1.15,0,3.44,0,0,0,0,0.57,0,0,0,2.3,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0.98,6.87,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.93,0,0,1.96,0,0.98,1.96,2.94,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,2.12,2.12,2.12,0,0,2.12,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,2.19,1.09,0,1.09,0,1.09,0,6.56,0,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0.77,0,1.53,0,0,0,0.77,3.83,0,4.6,0,0.77,1.53,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,5.88,0,1.96,0,0,0,0,0,0,0,1.96
