stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,10.51,2.63,0,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0
 24-34,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0,0.82,0,0,0,4.1,0,0,0,0.82,0,0,0,0,0,3.28,0,0
 36-46,0,0,0,0,0,1.61,0.81,0,0,0,0,0,0,0,0.81,0,0,0,7.25,0,0.81,0,1.61,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,1.15,0,3.44,1.72,0,0,0,0.57,0,0,0,0,0,0,0,13.2,0,0,0,7.46,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,5.89,2.94,0,0,0,0,0,0,0,0.98,0.98,0,0.98,12.76,0,0,0,18.65,0,0,0,0,0,0,0,0
 72-82,0,0,0,7.85,0,9.82,5.89,0,0.98,0,0.98,0,0.98,0.98,1.96,0.98,0.98,0.98,8.83,0,0,0,57.92,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,4.25,0,4.25,13.81,1.06,0,0,0,0,1.06,0,2.12,2.12,0,0,4.25,0,0,0,57.35,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,13.11,0,5.46,18.58,0,1.09,0,0,0,2.19,0,0,2.19,0,0,2.19,0,0,0,68.85,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0,19.92,0.77,6.13,22.21,0,0,0,0,0.77,1.53,0,1.53,0.77,0,0,6.89,0,0,0,49.02,0,0,0,0,0,0,6.89,0.77
120,0,0,0,31.36,0,9.8,17.64,1.96,0,0,0,0,1.96,1.96,5.88,1.96,0,0,5.88,0,0,0,41.16,0,0,0,0,0,1.96,13.72,0
