stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,434.87,9540.82,0,0,0,0,0,0,0,0,0,0,0,566.65,0,0,0,0,0,0
  5-6,429.07,4149.76,0,0,0,0,6.13,0,0,79.69,0,0,12.26,73.56,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,10.51,0,10.51,0,0,113.03,7.89,0,47.32,2.63,10.51,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,50.35,3.15,0,18.88,0,9.44,0,6.29,0,0,0
 14-21,0,0,0,3,0,0,0,1,0,2,0,0,1,1,0,1,0,0,0,0
 24-34,0,0,0.82,1.64,0,0,0,0,0.82,0.82,0,0.82,0,0,0,0,0,0.82,0.82,0.82
 48-58,0,0,0,0,4.02,0,0,1.15,0,0,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,17.67,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,26.5,0,0,0,0,5.89,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,22.3,0,0,0,0,3.19,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,8.74,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,6.89,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,11.76,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
