stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,15.77,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,12.59,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,4,0,3,4,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0.82,0.82,0,0,96.86,0,0.82,0,0,0,0.82,0,0,0.82,41.04,0,0,0,0
 36-46,0,0,0,0,2.42,0,9.67,0,0,0,4.83,0,0,0,0,0,0,0,0.81,0,0.81,0,0,299.71,0,2.42,0,0,0,2.42,0,0,0,75.73,0,0,0.81,0
 48-58,0,0,0,0,2.87,0.57,137.14,0,0,1.15,17.79,0,0,0,0,0,0,0,0,0.57,6.31,0.57,0.57,406.83,0,0.57,0,0,0,1.15,0,0,0,67.71,0,0,0.57,0
 60-70,0,0,0.98,0,2.94,0,470.15,0,0,0,27.48,0,0,0,0.98,0,0.98,0,0.98,0,3.93,0,0.98,780.31,0,0.98,1.96,0,0.98,0.98,0,0.98,0,88.34,0,0,0,0
 72-82,0,0,0,0,5.89,0.98,509.48,0.98,0.98,1.96,25.52,0.98,0,0,0,0.98,0.98,0,0,0,24.54,0,1.96,617.47,0,0.98,0.98,0,1.96,0,0,0,0,54.97,0,1.96,0,0
 84-94,0,0,1.06,0,10.62,1.06,248.52,0,0,5.31,32.92,0,0,0,0,0,0,1.06,0,0,19.12,0,0,297.37,0,0,0,0,0,3.19,0,0,0,26.55,0,1.06,0,0
 96-106,0,0,0,0,8.74,0,236.05,0,0,0,17.49,0,0,0,0,0,0,1.09,0,0,12.02,2.19,0,257.91,0,0,1.09,0,0,1.09,0,0,0,9.84,0,0,0,0
108-118,0,0,0,0,6.13,0.77,173.11,0,0.77,0,28.34,0.77,0,0,0,0,0,0,0,0,13.02,0,0.77,273.45,0,0,0.77,0,0,2.3,0,0,0,1.53,2.3,0,2.3,1.53
120,0,0,0,0,7.84,0,119.55,0,0,0,15.68,0,0,0,0,0,0,0,1.96,0,3.92,0,1.96,397.84,0,3.92,0,0,0,0,0,1.96,0,11.76,1.96,0,0,0
