stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,27,7,1,1,0,0,1,2,2,23,0,0,1,0,0
 24-34,0,0,2.46,0.82,8.21,0,0,9.85,0,2.46,0,0,0,0,3.28,0,1.64,0,1.64,0,1.64,17.24,0,0,4.1,165.81,1.64,5.75,1.64,0,4.93,0.82,5.75,2.46,87.01,0,0,9.03,0,0.82
 36-46,0,0,0,0,1.61,0.81,0,15.31,0.81,0.81,2.42,3.22,0,0,2.42,0.81,0,0,0.81,0,0.81,18.53,1.61,0,2.42,296.49,2.42,14.5,1.61,0,4.03,0,0.81,0,110.38,0,0,5.64,0,2.42
 48-58,0.57,0,0,0.57,3.44,0,0,71.15,1.72,0,0.57,12.05,0,0,1.15,0.57,0,0,0.57,0.57,2.3,24.1,0.57,0.57,6.31,336.25,0,12.05,2.3,0,4.59,0,0.57,0,78.04,0,0,1.72,0,1.72
 60-70,0,0,0,0,3.93,2.94,0,181.58,0.98,0.98,1.96,24.54,0.98,0,0,0.98,0.98,0.98,0,0,0,30.43,0,0,1.96,444.63,0.98,12.76,6.87,0,4.91,0,0,0,60.85,0,3.93,5.89,0.98,1.96
 72-82,0,0,0.98,0,4.91,9.82,0,465.31,0.98,0,1.96,47.12,1.96,0.98,3.93,0.98,1.96,2.94,2.94,0,0,76.57,1.96,0,6.87,652.81,0,25.52,4.91,2.94,2.94,0,0,0,43.19,1.96,1.96,9.82,10.8,0.98
 84-94,0,0,1.06,0,15.93,11.68,0,289.94,1.06,2.12,2.12,31.86,2.12,0,2.12,5.31,1.06,3.19,2.12,1.06,1.06,47.79,0,2.12,6.37,288.87,1.06,13.81,15.93,1.06,21.24,1.06,0,0,27.61,1.06,2.12,7.43,0,2.12
 96-106,0,0,0,0,7.65,8.74,1.09,278.68,2.19,4.37,0,33.88,6.56,0,2.19,3.28,1.09,1.09,8.74,0,1.09,48.09,2.19,3.28,5.46,286.33,0,31.69,29.51,1.09,17.49,0,0,0,9.84,6.56,5.46,12.02,6.56,4.37
108-118,0,0,0,0,16.85,6.13,2.3,202.21,3.83,5.36,2.3,33.7,3.06,0,0.77,0.77,2.3,6.89,1.53,0.77,0.77,39.83,3.06,6.89,3.83,363.07,0.77,19.15,15.32,1.53,6.13,0,3.83,0,8.43,3.83,3.06,8.43,3.83,3.83
120,0,0,0,0,13.72,1.96,1.96,152.86,1.96,1.96,0,35.28,0,0,1.96,0,0,3.92,1.96,0,1.96,39.2,0,1.96,1.96,307.69,0,13.72,15.68,0,11.76,0,0,0,25.48,0,3.92,13.72,7.84,0
