stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,25.18,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,9,4,0,0,1,0,1,1,3,0,2,6,10,1,0,0
 24-34,0,0,2.46,0,0,2.46,0,0,0,0,0,0,0,2.46,0,0.82,0,1.64,0.82,0,0,2.46,18.88,13.13,0,1.64,0,0,1.64,0,0,0,0,0.82,3.28,2.46,0,0
 36-46,0,0,0,0,0,8.06,0,0,0.81,0.81,0,0,0,0.81,0,0,0,4.83,2.42,0,0,0.81,4.03,8.86,0,0.81,0,0,4.03,0,0,0,0,0,1.61,0.81,0,0
 48-58,0,0,0.57,0,0,5.16,0,0,0,0.57,0,0,1.72,0.57,0,0,1.15,1.72,4.02,0,0,0.57,14.92,7.46,0,0,0,0,1.15,0,0,0.57,0.57,0,1.72,1.72,0,0
 60-70,0,0,1.96,0,0,4.91,0.98,0.98,0,0.98,0,0,1.96,0,0,0.98,0,0,0.98,0,0,0,4.91,0.98,0,0,0,0,0,0,0,0,0,0,0.98,1.96,0,0
 72-82,0,0,0.98,3.93,0,6.87,0,0.98,0,2.94,0,0,2.94,1.96,0,0,0,1.96,5.89,0,0.98,0,3.93,1.96,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,3.19,0,0,5.31,0,0,0,2.12,0,0,4.25,1.06,0,1.06,0,4.25,6.37,0,1.06,0,2.12,3.19,0,0,0,0,18.05,0,0,0,0,0,0,3.19,1.06,0
 96-106,0,0,6.56,1.09,0,6.56,2.19,0,0,0,4.37,0,7.65,10.93,1.09,1.09,0,0,6.56,0,0,0,7.65,0,0,1.09,0,1.09,15.3,0,0,0,0,0,0,1.09,0,1.09
108-118,0,0,1.53,0,1.53,6.89,1.53,0.77,0,4.6,3.06,0,7.66,0,0,0,0,3.83,4.6,0,0.77,1.53,4.6,0.77,0,0,0,0,14.55,0,0,0,0,0,0,0,0,0.77
120,0,0,9.8,0,0,1.96,0,0,0,1.96,3.92,0,11.76,0,0,0,0,1.96,5.88,0,0,3.92,1.96,0,1.96,0,0,0,21.56,0,0,0,0,0,0,0,0,0
