stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,422.94,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,2,1,0,0,42,0,0,0,0,0,5,0,0,22,2,5,3,0,0,1,0,2,33,44,90,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,40.22,0,0,0,0,0,4.93,0,6.57,31.19,0,29.55,0,0,0,5.75,0,0,39.4,9.85,83.73,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,3.22,0,0,31.42,0,0,0,0.81,0.81,7.25,0,0.81,29,0,37.87,0,0,0,4.83,0,0,16.11,0,66.87,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0.57,6.31,0.57,0,43.04,0.57,0.57,0,0,1.72,3.44,0,1.15,18.94,0,32.71,0,0,0,4.02,0,0,7.46,0,75.17,0,0,0,0,0.57
 60-70,0,0,0.98,0,1.96,0,3.93,0.98,1.96,57.91,0,0,0,0,0,9.82,0.98,1.96,23.56,0,39.26,0,0,0,3.93,0,0,3.93,0,51.04,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,8.83,0,0,76.57,0,0,0,0,0.98,2.94,0,0.98,14.72,0,58.9,0,0,0,1.96,0,0,1.96,0,29.45,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,0,19.12,0,0,55.23,0,0,1.06,0,1.06,2.12,0,0,18.05,2.12,71.16,1.06,0,1.06,4.25,1.06,0,6.37,0,36.11,1.06,0,0,0,0
 96-106,0,0,1.09,0,0,0,7.65,0,0,41.53,0,2.19,0,0,0,4.37,0,2.19,18.58,0,89.61,0,0,0,0,0,0,2.19,0,25.14,0,0,1.09,1.09,0
108-118,0,0,0,0.77,3.06,0,12.26,0,0,35.23,0.77,1.53,0,0,0.77,3.83,0,0,11.49,0,52.85,0,0,0,0.77,0,0,6.89,0,22.21,0.77,0,0.77,0,0.77
120,0,0,0,0,1.96,0,9.8,0,0,15.68,0,0,0,0,0,5.88,0,1.96,7.84,0,35.28,0,0,0,1.96,0,0,5.88,0,13.72,0,1.96,0,1.96,0
