stage,epidermis,eye,fast_muscle,glial,gut,heart,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,periderm,slow_muscle,spinal_cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0.82,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0
 48-58,0,1.15,0.57,1.15,0,0,0,0,0,0,0,1.15,0,0,0,0.57,0
 60-70,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0.98,1.96,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0,0.98,0
 84-94,0,0,1.06,2.12,1.06,0,1.06,0,1.06,0,1.06,1.06,0,0,1.06,0,1.06
 96-106,0,1.09,5.46,0,0,0,1.09,0,3.28,0,1.09,7.65,1.09,0,0,0,0
108-118,0.77,1.53,4.6,0,0,0,0,0.77,1.53,0,3.06,5.36,0,0.77,0.77,0,0
120,1.96,0,1.96,3.92,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0
