stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,105.42,3716.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0
  5-6,67.43,821.37,0,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,49.04,0,0,0,0,24.52,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.86,5.26,0,0,42.06,0,13.14,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,9.44,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,2,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,7.39,0,2.46,1.64,0,0,0,5.75,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0.81,0,0.81,0,0,0.81,12.09,0,1.61,0,0,1.61,0.81,6.45,0,0.81,0,0,0
 48-58,0,0,0,0,0,0.57,1.72,0,0,0,0,0,0,1.15,0,0.57,0.57,0.57,0,0,6.89,0,2.3,0,0,0,0,5.16,0,1.15,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,4.91,0,0.98,0,0,0,0,5.89,0,1.96,0,1.96,0
 72-82,0,0,2.94,0,0,0,0.98,0.98,0.98,0.98,5.89,0,0,0,0,0,3.93,0,0,0.98,7.85,0,2.94,0.98,0,0,0,12.76,0,0,1.96,4.91,0.98
 84-94,0,0,2.12,0,2.12,0,7.43,0,0,0,9.56,1.06,0,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,21.24,0,0,0,2.12,0
 96-106,0,0,2.19,0,0,1.09,0,0,0,2.19,9.84,0,1.09,0,0,0,1.09,0,1.09,0,16.39,0,4.37,0,0,0,0,6.56,0,1.09,4.37,5.46,0
108-118,0,0,3.06,0,0,0.77,3.06,0,0,1.53,9.96,0,0,0,0,0,2.3,0,0,0.77,5.36,0,1.53,0,0,0,0,6.13,0,0,0,3.06,0.77
120,0,0,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0,3.92,0,0,0,5.88,0,1.96,0,0,0,0,5.88,0,0,0,3.92,0
