stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,3,0,1,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,3.28,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,38.58,0,1.64,0,0,0,0,0,0.82,4.93,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,2.42,0,0,0,0,0,0,3.22,0.81,0,0.81,75.73,0,0,0,0,0,1.61,0,0,2.42,0,0,0.81,0
 48-58,0,0,0,0,1.15,0,0,6.31,0,0,2.3,0,0,0,0,0,0,3.44,1.15,0,4.59,85.5,0,1.15,0,0,0,0.57,0,0,6.31,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,25.52,0,0.98,11.78,0,0.98,0,0,0,0,0,12.76,0,2.94,255.2,0,0,0,0,0,0,0,0,14.72,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,105.04,0.98,0,13.74,0,0,0,0.98,0.98,0,0.98,17.67,4.91,1.96,300.39,0,0.98,0,0,0,0,0,0,20.61,0.98,0,0.98,0
 84-94,0,0,1.06,1.06,4.25,1.06,0,66.91,0,1.06,14.87,1.06,1.06,0,0,0,1.06,6.37,19.12,1.06,1.06,170.99,0,0,4.25,0,0,1.06,0,0,10.62,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,91.8,0,1.09,16.39,0,0,1.09,0,1.09,0,3.28,7.65,5.46,0,187.97,0,0,1.09,0,0,0,0,0,6.56,0,0,0,0
108-118,0,0,0,0,3.06,0.77,0,62.81,0,0,12.26,0.77,1.53,0.77,0.77,0,0.77,3.83,16.09,3.06,2.3,168.51,0,1.53,1.53,0,0.77,0.77,0,0.77,3.06,0,1.53,0.77,0.77
120,0,0,0,0,1.96,0,1.96,58.79,1.96,0,15.68,3.92,3.92,0,0,1.96,0,3.92,13.72,3.92,0,229.29,0,0,7.84,0,1.96,3.92,0,0,11.76,0,0,3.92,0
