stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,26.36,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,37.76,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,1,1,0,0,0,0,0,1,0,0,0,12,0,1,0,1,1,0,1,6
 24-34,0,0,0.82,0,0,0,0,1.64,0,0.82,0,0.82,0,1.64,33.66,0,0,0,0,0,0.82,0.82,5.75
 36-46,0,0,0,0,4.03,0,0,1.61,0,0,1.61,0,0,0.81,30.62,0,0,0,0.81,0,0,0,4.83
 48-58,0,0,0.57,0,4.02,0.57,0,1.15,0,0,0.57,0,0.57,0,21.23,0,0,0,0,0,0,0,1.15
 60-70,0,0,0.98,0,7.85,0,0,4.91,0,0.98,0,0,0,0,22.58,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,20.61,0,0,6.87,0,0,3.93,0,0,0.98,19.63,0,0,0,0,0,0,0,1.96
 84-94,0,0,0,0,18.05,0,0,1.06,1.06,0,2.12,0,0,1.06,9.56,0,1.06,0,2.12,0,0,0,0
 96-106,0,0,1.09,0,12.02,1.09,1.09,2.19,0,0,1.09,0,1.09,0,5.46,0,0,1.09,0,0,0,0,2.19
108-118,0,0,0,0,12.26,0,0,3.06,0,0.77,0.77,0,0.77,0,7.66,0,0,0,1.53,0,0,0,0
120,0,0,0,0,23.52,0,0,1.96,0,0,3.92,0,0,0,9.8,1.96,0,0,0,0,0,0,0
