stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,3.15,12.59,0,0,18.88,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,1.64,0,0.82,13.13,0,0,0,0,0,6.57,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,1.61,0,0.81,28.2,0,0,0,0,0,5.64,0.81,0
 48-58,0,0,0,1.15,0.57,0.57,0,0,0,0.57,0,0,21.23,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,11.78,0.98,1.96,0.98,0,0,0,1.96,0,31.41,0,0.98,0,0.98,0,3.93,0,0
 72-82,0,0,0,4.91,0,0,0,0,0,0,0,0,17.67,0,0.98,0,0,0,1.96,1.96,0
 84-94,0,0,1.06,7.43,0,3.19,0,0,0,1.06,0,0,15.93,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,2.19,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0
108-118,0,0,0.77,3.06,0,0.77,0,0,0.77,1.53,0,0,8.43,0,0,0,0,0,0.77,0,0
120,0,0,1.96,0,0,0,0,1.96,1.96,0,0,0,9.8,0,0,0,0,0,1.96,0,0
