stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,2,21,0,0,1,1,0,0,6,0,0,9,5,0,0,0,0,0
 24-34,0,0,0,3.28,0,0,4.93,0,0,0.82,0,0.82,0.82,0,0.82,0,0,0,0.82,10.67,0,0,5.75,24.63,0,0,0.82,0,0,2.46,0,0,0,2.46,9.03,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,6.45,0,0,0.81,2.42,0,0,0,0,0,0.81,0,0,8.86,0,1.61,1.61,22.56,0,1.61,0,0,0,0.81,0,0,0,0,2.42,0,0,0.81,0,1.61
 48-58,0,0.57,0,0.57,0,0,6.89,0,0.57,1.15,2.87,0,0.57,1.72,0,0,0,0,1.15,5.16,0,1.15,1.15,18.36,0,0,0.57,0,0,1.72,0,0,0.57,0,2.87,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,14.72,0,0,0,3.93,0,0,1.96,0,0,0,0,0,11.78,0.98,0.98,2.94,28.46,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,1.96,0,1.96,1.96,0,18.65,0,0.98,0.98,16.69,2.94,1.96,7.85,0,0.98,0,0.98,0,25.52,0.98,2.94,4.91,42.21,0,3.93,3.93,0,0,4.91,0,0,0.98,0,5.89,0.98,1.96,3.93,0,1.96
 84-94,0,1.06,0,7.43,0,0,11.68,0,1.06,1.06,9.56,1.06,0,9.56,0,0,0,1.06,1.06,22.3,2.12,1.06,4.25,27.61,0,4.25,2.12,0,0,14.87,0,1.06,0,0,3.19,0,0,6.37,2.12,2.12
 96-106,0,0,0,6.56,3.28,0,16.39,0,4.37,2.19,6.56,3.28,2.19,13.11,2.19,0,2.19,0,1.09,36.06,2.19,1.09,6.56,26.23,0,3.28,8.74,0,0,29.51,0,1.09,0,0,2.19,2.19,1.09,4.37,1.09,1.09
108-118,0,0,0,9.96,1.53,0.77,15.32,0,3.06,2.3,16.09,3.06,0,15.32,0,3.06,1.53,0.77,0.77,27.57,0.77,1.53,3.06,28.34,0.77,3.06,4.6,0,0,16.85,0,0,0.77,0,3.06,0.77,0.77,5.36,0,1.53
120,0,0,0,11.76,0,0,3.92,1.96,1.96,1.96,5.88,0,1.96,15.68,1.96,0,3.92,0,0,27.44,0,1.96,7.84,39.2,0,1.96,7.84,0,0,7.84,0,1.96,0,0,3.92,1.96,0,1.96,0,0
