stage,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,lateral_line,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,13.14,0,7.89,0,0,0,0,65.72,23.66,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,0,0,0,0,40.91,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0.82,0,4.93,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0.81,0.81,0,7.25,0,0,0,0.81,0,0,0
 48-58,0,0,0,2.87,1.15,0,0,0,1.15,0.57,4.02,0,0.57,0,1.15,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,5.89,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,0,0,0.98,0.98,2.94,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,1.06,0,0,0,0,1.06,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,1.09,0,0,1.09
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,3.92,3.92,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
