stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,25.18,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,6,0,5,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,1,49,1,1,0,0,0,3,0,5,1,0,2,29,0,0,0,0,0
 24-34,0,0,1.64,0.82,3.28,0,26.27,0.82,0.82,3.28,0,0.82,0.82,0,0.82,0,0,0,0.82,13.13,0,0,6.57,125.59,0.82,1.64,1.64,0,0,4.93,0,0,0.82,0,2.46,25.45,0,0,0.82,0,2.46
 36-46,0,0,0.81,0,3.22,0,21.75,0,1.61,8.06,0,0,0.81,0,0,0,0.81,0,0,17.72,0,0.81,1.61,139.38,0,2.42,2.42,0,0,1.61,0,0,0.81,0,0,30.62,0,0,1.61,0,1.61
 48-58,0,0,0,0,1.15,0,59.1,0,0,14.35,0,0,0,0,0.57,0,1.15,1.15,0,33.85,0.57,1.72,6.31,98.12,0,0.57,1.15,0,0,1.15,0,0,0.57,0.57,0,24.1,0,0,0.57,0,1.15
 60-70,0,0,0,0,0.98,0,55.95,0,1.96,12.76,1.96,0,0.98,1.96,0,0,0,0.98,0,19.63,0,0,0,68.71,0,2.94,0.98,0,0,0.98,0,0,0,0,0,5.89,0,0,2.94,0,0
 72-82,0,0,1.96,0,2.94,0,72.64,0,2.94,28.47,0,0,0.98,0,0.98,0,0,2.94,0,45.16,0.98,0.98,7.85,80.5,0,3.93,3.93,0,0,3.93,0,0,0,0.98,0,5.89,0.98,1.96,2.94,0.98,0.98
 84-94,0,0,0,0,1.06,1.06,32.92,0,0,11.68,3.19,0,0,0,1.06,0,0,1.06,1.06,25.49,0,1.06,5.31,39.3,0,0,1.06,0,0,5.31,0,0,0,0,0,3.19,0,1.06,1.06,1.06,1.06
 96-106,0,0,0,0,5.46,0,20.76,0,1.09,14.21,2.19,0,2.19,2.19,0,0,0,0,1.09,25.14,0,2.19,2.19,28.41,0,3.28,4.37,0,1.09,1.09,0,0,0,0,0,4.37,0,1.09,6.56,1.09,0
108-118,0,0,0,0,3.83,2.3,21.45,0,2.3,12.26,1.53,0,0,3.83,0.77,1.53,0.77,0.77,0,18.38,0,1.53,3.06,43.66,0,3.06,2.3,0,0.77,3.06,0,0,0,0,0,0,0.77,0.77,0,0.77,0.77
120,0,0,0,0,1.96,0,15.68,0,0,17.64,0,0,0,1.96,1.96,0,0,0,0,19.6,1.96,0,1.96,27.44,0,0,1.96,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,1.96
