stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,40,1,0,2,0,2,0,0,0,1,0,0,0,3,0,0,5,0,0,16,41,6,0,28,1,0,1,0,5,0,0,37,16,0,0,0,0
 24-34,0,0.82,0,13.95,1.64,0,4.1,9.85,7.39,1.64,0.82,0,0,0,0,0,36.12,0,0.82,48.43,0,0,25.45,126.41,2.46,5.75,41.04,0,0.82,0,0,0,0,4.93,52.53,4.93,0,2.46,0,0
 36-46,0,0,0,4.03,0.81,0,0.81,24.17,3.22,4.03,0.81,0,0,0,0,0.81,29,0,0,103.13,0,0,26.59,101.51,1.61,4.83,38.67,0,0,0.81,0.81,0.81,0,4.03,3.22,6.45,0,0,0,0
 48-58,0,0,0,2.87,0.57,0,13.2,17.21,5.16,3.44,2.3,0,1.72,0,0,0,39.02,0,0,180.17,0.57,0,14.92,98.69,0.57,3.44,41.89,0,0,0.57,0,0,0,4.59,0,9.18,0.57,0.57,0,0
 60-70,0,0,0,1.96,0,0,12.76,20.61,3.93,0,6.87,0,0,0,0,0,46.13,0,0,292.49,0,0,10.8,87.36,0,1.96,41.22,0,0,0.98,0,0,0,2.94,0,8.83,0.98,1.96,0.98,0
 72-82,0,0,0,2.94,2.94,0,24.54,12.76,0.98,6.87,11.78,0.98,1.96,0,0,0,73.62,0.98,0.98,326.89,0.98,0,16.69,116.82,0,1.96,88.35,0,0,3.93,0,0,0,0.98,0,7.85,1.96,1.96,1.96,0
 84-94,0,0,0,5.31,2.12,0,31.86,13.81,6.37,10.62,8.5,1.06,0,0,1.06,0,100.89,1.06,0,201.79,0,1.06,18.05,43.54,0,9.56,100.89,0,0,5.31,0,0,0,5.31,0,7.43,1.06,1.06,2.12,0
 96-106,0,1.09,0,12.02,2.19,2.19,18.58,20.76,2.19,4.37,28.41,1.09,1.09,2.19,0,0,126.77,2.19,0,189.06,1.09,2.19,14.21,83.06,3.28,17.49,113.66,1.09,0,4.37,0,0,1.09,7.65,0,0,1.09,0,1.09,1.09
108-118,0,0,0,4.6,0.77,1.53,12.26,27.57,6.89,5.36,29.11,0.77,1.53,0.77,1.53,0,93.45,1.53,0.77,163.15,0.77,1.53,25.28,78.13,0,10.72,82.72,0,0,0.77,0,0,0.77,9.19,0,0.77,1.53,0.77,2.3,0
120,0,0,0,7.84,0,0,7.84,19.6,9.8,3.92,31.36,3.92,0,3.92,0,0,52.91,0,0,97.99,1.96,3.92,31.36,86.23,0,11.76,78.39,0,0,0,0,0,0,3.92,0,0,0,0,1.96,1.96
