stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,21.03,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1,5,0,0,0,0,0,0,1,0,61,0,0,1,0
 24-34,0,0,0,0,0,0,5.75,0,0,0.82,0.82,0,0,0,0,0,0,0,0,1.64,1.64,0,0,0.82,504.01,0,14.78,0,0,0,0.82,0,0.82,0,1.64,190.44,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,45.12,0,0,0,1.61,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,1013.53,0,18.53,0,0,0,2.42,0,0,0,0,245.73,0,0,0.81,0.81
 48-58,0,0,0,0,6.89,0,153.21,0,0,0,11.48,0,0.57,0,0,0,0.57,0,0.57,0.57,10.33,0,1.72,0.57,1137.86,0,14.92,0,0,0,1.15,0,0.57,0,0,215.75,0,0,0,0.57
 60-70,0,0,0,0,1.96,0.98,352.37,0,0,0,12.76,0,0,0.98,0,0,0,0.98,0.98,0.98,16.69,0,0,0,1581.23,0,19.63,0,0,0,4.91,0,0,0.98,0,212.99,0,0,0.98,1.96
 72-82,0,0,0,0,5.89,1.96,323.95,0,0,1.96,27.49,0,0,0.98,1.96,0,0.98,0,0,0.98,14.72,0.98,0.98,1.96,1110.26,0,20.61,0.98,0,0,0,0,0.98,0.98,0,124.67,0.98,1.96,0,2.94
 84-94,0,0,0,0,9.56,1.06,240.02,0,1.06,0,37.17,0,0,1.06,3.19,1.06,2.12,0,0,0,15.93,0,0,3.19,591.55,1.06,15.93,1.06,0,0,3.19,0,0,0,0,69.03,0,0,1.06,0
 96-106,0,0,1.09,0,6.56,7.65,167.21,1.09,1.09,1.09,26.23,0,0,0,2.19,1.09,0,0,1.09,0,7.65,0,0,1.09,464.46,0,24.04,1.09,0,0,3.28,0,0,0,0,21.86,1.09,1.09,0,0
108-118,0,0,0.77,0,5.36,1.53,130.21,0.77,0.77,0.77,12.26,0.77,0,0,2.3,0.77,0.77,0,0.77,0,6.13,0,0,0.77,552.26,0,12.26,0,0,0.77,2.3,0,0,0,0,16.85,0,0,1.53,0.77
120,0,0,0,0,15.68,0,129.35,0,1.96,0,11.76,0,0,0,0,0,0,0,0,0,9.8,0,0,1.96,515.42,0,5.88,0,0,0,1.96,0,1.96,0,0,21.56,0,0,0,0
