stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,22,3,2,0,1,0,2,6,0,6,11,0,0,0,0
 24-34,0,0.82,0,3.28,0,0,6.57,0,0,0.82,0.82,0,0,0,0,0,0,0,0,7.39,0,0,2.46,63.21,0,0.82,0.82,0,0,4.1,0,0,0.82,20.52,0,0,0,0.82
 36-46,0,0,0,0,0,0,8.06,0.81,0.81,2.42,0,0,0,0,0,0,0,0,0.81,8.06,0,0,4.03,89.43,0,1.61,0,0,0,1.61,0,0.81,0,26.59,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,12.62,0,0,8.61,0,0,0,0.57,0,0.57,0,0,1.72,7.46,0.57,0,2.3,90.66,0,1.15,0,0,0,1.15,0,0,0,15.49,0,0.57,0,0
 60-70,0,0,0,0.98,0.98,0,30.43,1.96,0,11.78,0,0,0,0,0,0,0.98,0,0,12.76,0,0,4.91,120.73,0,1.96,0.98,0,0,0,0,0,0,17.67,0.98,2.94,0,0.98
 72-82,0,1.96,0,0.98,0.98,0,35.34,0,1.96,10.8,0,0,0,0,0,0,0,0,0,19.63,0,0.98,4.91,113.87,0,2.94,0.98,0,0.98,0.98,0,0,0,7.85,0,3.93,0,0.98
 84-94,0,1.06,0,1.06,2.12,0,25.49,0,0,11.68,0,0,0,1.06,0,1.06,0,0,0,11.68,0,0,1.06,44.61,1.06,1.06,0,0,0,0,0,0,0,5.31,0,3.19,0,1.06
 96-106,0,0,0,3.28,1.09,0,14.21,0,0,10.93,0,0,0,1.09,0,0,1.09,1.09,1.09,13.11,0,1.09,2.19,40.44,1.09,2.19,0,0,0,1.09,0,0,0,4.37,0,2.19,0,2.19
108-118,0,1.53,0,3.83,0,0.77,17.62,0,0,8.43,1.53,0,0.77,1.53,0.77,0,0,0,0,9.96,0,0.77,2.3,62.81,1.53,0.77,0,0,0,1.53,0,0,0,3.06,0,2.3,0,0.77
120,0,0,0,0,0,0,9.8,0,0,3.92,0,0,0,0,0,1.96,1.96,0,0,3.92,0,0,5.88,52.91,0,3.92,0,0,0,0,0,0,0,3.92,0,1.96,1.96,0
