stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,1.09,1.09,2.19,5.46,0,1.09,1.09,1.09,0,125.68,1.09,0,1.09,0,12.02,0,1.09,0,1.09,0,0
108-118,0,0.77,0,1.53,3.83,0.77,0.77,0.77,0.77,0,471.07,3.83,0,0,0,22.21,0,0,0,0,0,0
120,0,0,1.96,0,0,1.96,0,1.96,0,1.96,421.35,1.96,0,0,1.96,17.64,0,5.88,0,0,1.96,1.96
