stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,18.39,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,1,18,0,0,0
 24-34,0,0,0,0.82,0,4.1,0,0,3.28,0,0,0.82,0,0,0.82,0,1.64,107.53,0.82,4.1,0,0,0,0,0,0,0.82,45.97,0,0,0
 36-46,0,0,0,0,0,4.83,0.81,0,2.42,0,0,0,0,0,0,0,0,272.32,0,5.64,1.61,0,0,0.81,0,0,0,58.01,0,0.81,0
 48-58,0,0,0,1.15,0,26.97,0,0,4.59,0,0,0,0,0,0.57,0,0.57,267.39,0.57,0.57,0.57,0.57,0,0,0,0,0,51.64,0,0,0
 60-70,0,0,0,0,0,71.65,0,0,9.82,0,0.98,0,0,0.98,7.85,0.98,0,400.46,0.98,0.98,0,0,0,0.98,0,0,0,59.87,0,0.98,0
 72-82,0,0,0,0.98,0,80.5,0,0,29.45,1.96,0,0,0,0,2.94,0,0,322.97,0,3.93,3.93,0,0.98,1.96,0,0,0,31.41,0.98,0.98,0.98
 84-94,0,0,0,3.19,2.12,54.16,0,1.06,13.81,1.06,0,0,1.06,1.06,7.43,0,0,157.18,1.06,0,4.25,0,0,1.06,0,0,0,21.24,0,1.06,0
 96-106,0,0,0,2.19,0,48.09,0,0,15.3,0,2.19,0,0,0,5.46,0,1.09,118.03,0,2.19,1.09,0,0,1.09,1.09,0,0,6.56,1.09,0,0
108-118,0,0,0.77,0.77,0.77,42.89,0,0,19.15,0.77,0.77,0,0.77,0,4.6,0,0.77,128.68,0,2.3,2.3,0,0,0,0,0,0,6.13,0.77,0,0
120,0,0,0,7.84,0,68.59,0,3.92,21.56,0,3.92,0,0,0,5.88,0,0,246.93,0,1.96,1.96,0,0,3.92,0,0,0,5.88,0,1.96,0
