stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,0,2,0,1,1,4,0,0,0,0
 24-34,0,2.46,0,3.28,0,0,0,0.82,0,0,0.82,0,0,0,0,0,3.28,0,0,1.64,35.3,0.82,0.82,0,0,7.39,0,0,0,21.34,0,2.46,0,0
 36-46,0,2.42,0,5.64,0,0,0.81,1.61,0,0,0,0,0,0,0,0,6.45,0,0,5.64,70.09,0,3.22,0,0,4.03,0,0,0,12.89,0,1.61,0,0.81
 48-58,0,2.3,0.57,36.72,0,0.57,0,2.87,0,0.57,0,0,0,0.57,0,1.15,6.89,0,0,1.15,103.86,0.57,1.15,1.72,0,1.72,0,0,0,14.35,0,2.3,0,0.57
 60-70,0,0,1.96,51.04,0,0,0,3.93,0.98,0,0,0,0.98,0,0,0.98,5.89,0.98,0.98,0,125.63,0,0.98,0.98,0,1.96,0,0,0,8.83,0,0.98,0,0.98
 72-82,0.98,0.98,0.98,54.97,0,0,0,7.85,0.98,0,0,2.94,0,0.98,0,0.98,39.27,0,0.98,5.89,118.78,0,0.98,0,0,0.98,0,0,0,6.87,0,3.93,0.98,0
 84-94,0,1.06,0,25.49,1.06,0,0,9.56,1.06,0,1.06,0,0,0,0,1.06,13.81,0,0,0,48.85,0,0,1.06,0,5.31,0,0,0,5.31,0,3.19,1.06,0
 96-106,0,2.19,0,27.32,0,0,1.09,5.46,1.09,0,1.09,1.09,0,0,0,0,13.11,0,1.09,0,42.62,0,2.19,4.37,0,9.84,1.09,0,0,4.37,1.09,2.19,2.19,0
108-118,0,4.6,0,25.28,0,0,0,3.83,0,0,0,0,0.77,0.77,0,0.77,6.13,0,0.77,1.53,44.43,0,0.77,2.3,0.77,0.77,0,0,0,2.3,0,1.53,0.77,0
120,0,1.96,0,13.72,0,0,0,3.92,0,0,0,0,0,0,1.96,0,5.88,0,0,0,47.03,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
