stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0
  5-6,61.3,98.07,0,0,0,0,0,0,0,0,36.78,0,18.39,6.13,0,0,0,0,0
  7-9,57.83,10.51,49.95,0,0,0,0,21.03,0,0,52.57,73.6,373.28,0,0,0,0,0,0
 10-12,3.15,6.29,22.03,0,3.15,3.15,0,6.29,0,0,34.62,69.23,207.7,3.15,0,40.91,0,0,0
 14-21,0,0,2,6,5,0,1,1,12,16,6,42,0,1,49,6,9,71,7
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0.98,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0,0
