stage,epidermis,eye,fast_muscle,fin_epithelia,gut,immune,mesenchyme,mural_cell,muscle,neural,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,23,0,0,0,0,0,1,0,2,3,0,0,0,0,1,0
 24-34,4.93,0,0,0,0,0,3.28,0,0,3.28,1.64,0,0,0,0.82,0
 36-46,0.81,0,0,3.22,0,0,0.81,0,0.81,10.47,0,0,0,0,0,0
 48-58,0,0.57,1.15,0.57,0,0,0.57,0,1.15,3.44,1.15,0.57,0,0,0,0
 60-70,0.98,0,0,0.98,0,0,0.98,0.98,0,2.94,0,0.98,0,0,0,0
 72-82,0.98,0,0,0,0.98,0,0.98,0,0,2.94,0,0,0,0,0.98,0.98
 84-94,0,0,0,1.06,1.06,2.12,0,1.06,0,2.12,0,0,0,0,0,0
 96-106,1.09,0,0,0,1.09,2.19,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0.77,0.77,1.53,0,1.53,1.53,0,0.77,0,0.77,0
120,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96
