stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,3.15,616.81,12.59,0,0,47.2,0,3.15,0,12.59,0,0,3.15,0,0,0,0,0
 14-21,0,3,748,6,0,4,0,2,0,0,1,1,0,0,2,0,4,0,0,14,1,0,34,132,4,7,9,12,0,0,26,10,0,24,115,0,0,0,0,0
 24-34,0,8.21,288.12,1.64,0,10.67,0,4.1,1.64,9.85,0,0,0.82,0,0.82,0,15.6,0,0,55,1.64,0.82,65.67,197.01,1.64,0.82,7.39,0,1.64,1.64,0.82,0,0,32.01,154.32,0,0,0.82,0,0.82
 36-46,0,0.81,75.73,0,0,40.28,0,0,1.61,22.56,0.81,0,0,0,0.81,0.81,11.28,0.81,0,109.57,2.42,0.81,32.23,442.31,0,1.61,4.03,0,0,0,0,0,0,0,134.55,0,0,0.81,0,0.81
 48-58,0,0,46.48,0,0,63.69,0,0.57,2.3,96.4,0,0,0.57,0.57,0,0,5.16,0,1.15,154.35,0.57,1.15,14.92,338.54,0,0.57,5.16,0,0,1.72,0,0,0,0,98.12,0,0,1.15,0,0.57
 60-70,0,0,23.56,0,0,69.69,0,0,9.82,99.13,0,0,0,0.98,0.98,0,4.91,1.96,0,202.19,0,0.98,20.61,170.78,0,0,3.93,0,0.98,0.98,0,0,0,0,72.63,0,0.98,1.96,0,0
 72-82,0,0,16.69,0,0,106.02,1.96,0.98,4.91,151.18,0,0,0.98,0.98,0,0,1.96,0,0,312.17,0,2.94,26.5,153.14,1.96,0,5.89,0,0,0,0,0.98,0.98,0,19.63,0.98,2.94,1.96,3.93,0
 84-94,0,0,15.93,0,0,82.84,0,1.06,6.37,91.34,1.06,0,0,2.12,0,1.06,2.12,0,0,215.59,0,4.25,16.99,87.09,0,0,9.56,0,0,0,0,1.06,1.06,0,23.36,1.06,0,2.12,2.12,2.12
 96-106,0,0,22.95,0,0,73.22,1.09,2.19,6.56,84.15,2.19,0,0,3.28,0,0,3.28,0,0,233.87,1.09,3.28,19.67,106.01,1.09,2.19,7.65,0,1.09,2.19,0,0,0,0,4.37,0,1.09,3.28,1.09,0
108-118,0,0.77,8.43,0.77,1.53,62.81,0,0,6.89,79.66,0.77,0,0,3.83,2.3,0,3.06,0.77,0,236.68,0.77,4.6,23.74,106.47,0,0,5.36,0,0.77,0,0,0.77,0,0,2.3,0.77,0.77,0.77,0,0
120,0,0,7.84,0,0,48.99,0,0,11.76,101.91,5.88,0,0,1.96,1.96,0,3.92,0,1.96,217.54,0,1.96,15.68,127.39,0,0,5.88,0,3.92,1.96,0,0,0,0,1.96,0,0,3.92,5.88,0
