stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,hatching.gland,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord
  3-4,619.36,7801.34,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0
  5-6,496.5,7760.12,0,0,0,0,24.52,0,0,0,183.89,6.13,0,0,55.17,140.98,0,0,0,0
  7-9,94.63,102.52,205.04,0,386.42,0,120.92,0,0,0,3590.82,105.15,0,0,1382.7,0,44.69,0,0,0
 10-12,0,119.58,141.61,15.73,280.08,0,28.32,3.15,0,0,2476.66,40.91,0,0,1032.21,6.29,15.73,144.76,6.29,0
 14-21,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,2
 24-34,0,0,0,0,0,0,0,0,1.64,0,15.6,0,0,0,0,0,0,0,0,3.28
 36-46,0,0,0,0,2.42,0,0,0,0,0,25.78,0,0,0,0,0,0,0,0,3.22
 48-58,0,0,0,0,8.03,2.87,0,0,2.3,0,36.72,0,0,0,0,0,0,0,0,5.74
 60-70,0,0,0,0,12.76,0.98,0,0,0,0,33.37,0,0.98,0,0,0,0,0,0,3.93
 72-82,0,0,0,0,4.91,0,0,0,1.96,0,10.8,0,0,0,0,0,0,0,0,2.94
 84-94,0,0,0,0,1.06,1.06,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,2.19,4.37,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,3.92,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0
